시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
가평군,광진,닭,육계,30000,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827026,127.5169496308,20230807,
가평군,다손,닭,육계,45000,12469,,경기도 가평군 설악면 천안리 126-1,37.6347836491,127.4833062994,20230807,
가평군,대기농산(유) 농업회사법인,닭,산란계,230000,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4번지,37.6361823588,127.4879292108,20230807,
가평군,마장,닭,웅추,96000,12402,경기도 가평군 북면 화악지암길 223-16,경기도 가평군 북면 화악리 255번지,37.9442490665,127.5749456070,20230807,
가평군,무백,닭,육계,35000,12416,경기도 가평군 가평읍 석봉로3번길 160-58,경기도 가평군 가평읍 대곡리 594번지,37.8267783324,127.4941707141,20230807,
가평군,밀마운트,닭,산란계,100,12439,,경기도 가평군 조종면 대보리 419-127,37.8189783443,127.3663712347,20230807,
가평군,상원,닭,육계,25000,12411,경기도 가평군 가평읍 잎너비길 35-237,경기도 가평군 가평읍 읍내리 87번지,37.8504013746,127.5115146165,20230807,
가평군,상철,닭,웅추,120000,12402,경기도 가평군 북면 화악지암길 223-109,경기도 가평군 북면 화악리 270-3번지,37.9432315898,127.5733739820,20230807,
가평군,새벽숲,닭,산란계,750,12432,경기도 가평군 조종면 꽃동네길 19-26,경기도 가평군 조종면 운악리 530번지,37.8825224272,127.3525425704,20230807,
가평군,샘골,닭,육계,33700,12472,경기도 가평군 설악면 평촌길 136,경기도 가평군 설악면 방일리 605번지,37.6113688647,127.4985724086,20230807,
가평군,서울,닭,산란계,5000,12402,경기도 가평군 북면 화악지암길 67-58,경기도 가평군 북면 화악리 604-1,37.9331678700,127.5670141909,20230807,
가평군,성주,닭,육계,36000,12472,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81-1번지,37.6262140167,127.4960449572,20230807,
가평군,승현,닭,육계,22000,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1번지,37.8681207949,127.5147918002,20230807,
가평군,언덕,닭,육계,70000,12442,경기도 가평군 상면 태봉골길 135-29,경기도 가평군 청평면 고성리 438-6번지,37.8067315575,127.3391862346,20230807,
가평군,에덴2,닭,육계,48000,12472,경기도 가평군 설악면 유명로 1028-95,경기도 가평군 설악면 방일리 478-1번지,37.6303598645,127.4901061307,20230807,
가평군,오석,닭,육계,50000,12472,경기도 가평군 설악면 양방가루재길 89-31,경기도 가평군 설악면 방일리 13-4번지,37.6312435899,127.4985266951,20230807,
가평군,우리,닭,육계,58000,12431,경기도 가평군 조종면 명지산로 224,경기도 가평군 조종면 상판리 358-1번지,37.8933301392,127.3686485043,20230807,
가평군,이화,닭,웅추,89000,12409,경기도 가평군 가평읍 각담말길 134-17,경기도 가평군 가평읍 마장리 222번지,37.8679764308,127.5159742010,20230807,
가평군,일어나,닭,육계,71000,12470,경기도 가평군 설악면 엄소속골길 43-12,경기도 가평군 설악면 엄소리 399번지,37.6497470527,127.4834378946,20230807,
가평군,정자,닭,백세미,65000,12442,경기도 가평군 상면 아랫벌길 22-48,경기도 가평군 상면 태봉리 28-1번지,37.7956790739,127.3375064333,20230807,
가평군,정회,닭,육계,18000,12408,경기도 가평군 가평읍 아랫마장길 29-37,경기도 가평군 가평읍 승안리 93-20번지,37.8437953047,127.5010797827,20230807,
가평군,주영,닭,웅추,90000,12402,경기도 가평군 북면 화악지암길 223-85,경기도 가평군 북면 화악리 269-1번지,37.9430247081,127.5727022934,20230807,
가평군,주원,닭,산란계,2000,12426,,경기도 가평군 가평읍 상색리 337-2,37.7911509055,127.4748939555,20230807,
가평군,찬호,닭,산란계,300,12401,경기도 가평군 북면 가화로 2159-34,경기도 가평군 북면 도대리 282-4,37.9409284390,127.4873787852,20230807,
가평군,창진,닭,웅추,60000,12402,경기도 가평군 북면 화악지암길 160-229,경기도 가평군 북면 화악리 92번지,37.9362693575,127.5798309144,20230807,
가평군,창현,닭,육계,30000,12463,경기도 가평군 설악면 한서로210번길 103,경기도 가평군 설악면 위곡리 461-2번지,37.6608965246,127.5175283624,20230807,
가평군,커피먹인닭,닭,산란계,500,12408,,경기도 가평군 가평읍 승안리 448,37.8483401388,127.4821320759,20230807,
가평군,태우,닭,육계,36000,12463,경기도 가평군 설악면 음동길 9,경기도 가평군 설악면 위곡리 894-2번지,37.6562187599,127.5161101191,20230807,
가평군,해진,닭,육계,33300,12464,경기도 가평군 설악면 한서로156번길 23-22,경기도 가평군 설악면 창의리 156-1번지,37.6676463455,127.5080789886,20230807,
가평군,혁식,닭,백세미,73000,12463,경기도 가평군 설악면 한서로210번길 283-9,경기도 가평군 설악면 위곡리 342-1번지,37.6454289595,127.5207100048,20230807,
가평군,호현,닭,육계,155000,12402,경기도 가평군 북면 화악지암길 223-83,경기도 가평군 북면 화악리 269-2번지,37.9431690351,127.5725089571,20230807,
고양시,강매농장,닭,산란계,1000,10441,경기도 고양시 덕양구 강매로 136 (강매동),경기도 고양시 덕양구 강매동 252번지,37.6003751878,126.8433147644,20231208,
고양시,경오농장,닭,육계,120,10454,경기도 고양시 덕양구 주교동 1404번지 0호,경기도 고양시 덕양구 주교동 1404번지 0호,37.6541874290,126.8190406808,20231208,
고양시,고골농장,닭,육계,1000,10265,경기도 고양시 덕양구 관산동 605번지 13호,경기도 고양시 덕양구 관산동 605번지 13호,,,20231208,
고양시,고양축산영농조합법인,닭,육계,50000,10255,경기도 고양시 일산동구 공릉천로 406-124 (지영동),경기도 고양시 일산동구 지영동 562번지,37.7278484649,126.8318528526,20231208,
고양시,구구축산농원,닭,육계,40000,10289,경기도 고양시 일산동구 사리현로216번길 153 (사리현동),경기도 고양시 일산동구 사리현동 546번지,37.6882475905,126.8387978999,20231208,
