시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리)
가평군,광진,백세미,12463,경기도 가평군 설악면 한서로210번길 187,경기도 가평군 설악면 위곡리 376-1,127.5171965994,37.6535880187,70000
가평군,다손,육계,12469,경기도 가평군 설악면 유명로 1108-30,경기도 가평군 설악면 천안리 156-2,127.4822784619,37.6370312304,45000
가평군,대기,산란계,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4,127.4888898036,37.6362563835,160000
가평군,대원,토종닭,12440,경기도 가평군 상면 물골길 366,경기도 가평군 상면 봉수리 94-2,127.2958775075,37.8478696724,15000
가평군,마장,웅추,12402,경기도 가평군 북면 화악지암길 223-16,경기도 가평군 북면 화악리 255,127.5749603876,37.9442793046,80000
가평군,무백,육계,12416,경기도 가평군 가평읍 석봉로3번길 160-58,경기도 가평군 가평읍 대곡리 594,127.4939184179,37.8267052314,35000
가평군,배취,육계,12463,경기도 가평군 설악면 한서로210번길 17-42,경기도 가평군 설악면 위곡리 801,127.5146897745,37.6680863455,23000
가평군,상원,육계,12411,경기도 가평군 가평읍 잎너비길 35-237,경기도 가평군 가평읍 읍내리87,127.5115514145,37.8505681735,25000
가평군,상철,웅추,12402,경기도 가평군 북면 화악지암길 223-85,경기도 가평군 북면 화악리 269-1,127.5727082593,37.9428577793,85000
가평군,샘골,육계,12472,경기도 가평군 설악면 평촌길 136,경기도 가평군 설악면 방일리 605,127.4983335348,37.6116207496,45000
가평군,석순,토종닭,12424,경기도 가평군 가평읍 달전천벚꽃길 201,경기도 가평군 가평읍 하색리 191-5,127.4980801325,37.8069843387,20000
가평군,선달,웅추,12409,경기도 가평군 가평읍 각담말길 143,경기도 가평군 가평읍 마장리 203,127.5156825885,37.8695868822,90000
가평군,성주,육계,12472,경기도 가평군 설악면 양방가루재길 37-6,경기도 가평군 설악면 방일리 81-1,127.4959181308,37.6265959150,32000
가평군,승현,육계,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1,127.5146837118,37.8681227164,120000
가평군,안말,육계,12463,경기도 가평군 설악면 한서로 213-30,경기도 가평군 설악면 위곡리 728,127.5126644790,37.6702574150,30000
가평군,언덕,육계,12456,경기도 가평군 청평면 호반로 1233,경기도 가평군 청평면 고성리 438-6,127.5008311874,37.7160224097,65000
가평군,에덴2,육계,12472,경기도 가평군 설악면 유명로 1028-95,경기도 가평군 설악면 방일리 478-1,127.4900044315,37.6299810752,30000
가평군,에덴2,육계,12465,경기도 가평군 설악면 한서로23번길 24,경기도 가평군 설악면 신천리 125-2,127.4972001730,37.6764767781,40000
