시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
고양시,강매농장,닭,산란계,1000,10441,경기도 고양시 덕양구 강매로 136,경기도 고양시 덕양구 강매동 662-2번지,37.6001914000,126.8433162000,20181206,
고양시,강범농장,닭,육계,30,10305,경기도 고양시 일산동구 고일로 60-7,경기도 고양시 일산동구 식사동 1087번지,37.6683790000,126.8032623000,20181206,
고양시,강아지나라,닭,산란계,20,10265,,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382000,126.8690901000,20181206,
고양시,경오농장,닭,육계,120,10454,,경기도 고양시 덕양구 주교동 1404번지 0호,37.6541874000,126.8190406000,20181206,
고양시,고골농장,닭,육계,1000,10265,,경기도 고양시 덕양구 관산동 605번지 13호,37.7125994000,126.8675380000,20181206,
고양시,고양축산영농조합법인,닭,육계,52000,10255,경기도 고양시 일산동구 공릉천로 406-124,경기도 고양시 일산동구 지영동 562번지,37.7278696000,126.8319829000,20181206,
고양시,구구축산농원,닭,육계,40000,10289,경기도 고양시 일산동구 사리현로216번길 153,경기도 고양시 일산동구 사리현동 546번지,37.6877691000,126.8392628000,20181206,
고양시,구현농장,오리,,213,10427,경기도 고양시 덕양구 신평길 254,경기도 고양시 덕양구 신평동 26-176번지,37.6281376000,126.7807703000,20181206,
고양시,금화농장,닭,육계,20000,10256,,경기도 고양시 일산동구 지영동 732번지,37.7129566000,126.8245094000,20181206,
고양시,내유농장,닭,육계,30000,10264,,경기도 고양시 덕양구 내유동 96번지,37.7240710000,126.8618344000,20181206,
고양시,능곡축산,닭,육계,150,10511,경기도 고양시 덕양구 지도로124번길 58,경기도 고양시 덕양구 토당동 897번지,37.6273583000,126.8260961000,20181206,
고양시,다온,닭,육계,14,10455,경기도 고양시 덕양구 호국로 659-16,경기도 고양시 덕양구 화정동 795-5번지,37.6471919000,126.8282927000,20181206,
고양시,닭미장,닭,육계,20,10276,,경기도 고양시 덕양구 선유동 114번지 1호,37.6942912000,126.9142849000,20181206,
고양시,담주농장,닭,육계,53,10276,경기도 고양시 덕양구 선유길 111,경기도 고양시 덕양구 선유동 355-1번지,37.6795740000,126.9084757000,20181206,
고양시,대경축산,닭,산란계,200,10315,경기도 고양시 일산동구 사리현로 39-20,경기도 고양시 일산동구 식사동 260번지,37.6895199000,126.8227288000,20181206,
고양시,대화농장,닭,산란계,100,10397,경기도 고양시 일산서구 멱절길 218-21,경기도 고양시 일산서구 대화동 1952-4번지,37.6564610000,126.7439121000,20181206,
고양시,대화농장,닭,산란계,50,10213,,경기도 고양시 일산서구 법곳동 1046번지 2호,37.6735416000,126.7159345000,20181206,
고양시,덕이농장,오리,,350,10224,경기도 고양시 일산서구 송산로 554-6,경기도 고양시 일산서구 덕이동 901번지,37.6908475000,126.7383845000,20181206,
고양시,덕이축산,닭,육계,45000,10224,,경기도 고양시 일산서구 덕이동 1378번지,37.6856856000,126.7307164000,20181206,
고양시,도 농장,닭,산란계,305,10220,,경기도 고양시 일산서구 법곳동 1537번지,37.6675965000,126.7164675000,20181206,
고양시,동물농장,닭,육계,70,10284,경기도 고양시 덕양구 통일로493번안길 53-22,경기도 고양시 덕양구 신원동 산3-1번지,37.6819645000,126.8821156000,20181206,
고양시,두메토종닭,닭,육계,74,10293,경기도 고양시 덕양구 수역이길 119-29,경기도 고양시 덕양구 성사동 429-2번지,37.6566610000,126.8475924000,20181206,
고양시,뜰안에,닭,산란계,50,10299,,경기도 고양시 일산동구 식사동 1313번지,37.6763512000,126.8190993000,20181206,
고양시,민섭이네,닭,육계,28000,,,경기도 고양시 일산서구 대화동 1942번지 39호,37.6535201000,126.7381883000,20181206,
