시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리)
고양시,신O호,육계,10452,경기도 고양시 덕양구 대곡길 49,경기도 고양시 덕양구 내곡동 125-1,126.8021283000,37.6433302000,300
고양시,이O순,육계,10224,,경기도 고양시 일산서구 덕이동 1378,126.7307164000,37.6856856000,46000
고양시,전OO,산란계,10399,경기도 고양시 일산동구 장항로 360-75,경기도 고양시 일산동구 장항동 517-2번지,126.7645131000,37.6498282000,60000
고양시,진O일,육계,10289,경기도 고양시 일산동구 사리현로216번길 153,경기도 고양시 일산동구 사리현동 546,126.8392628000,37.6877691000,37500
고양시,황OO,산란계,10454,경기도 고양시 덕양구 대주로492번길 14,경기도 고양시 덕양구 주교동 1073,126.8247345000,37.6567729000,80000
과천시,농장1,산란계,13820,,경기도 과천시 주암동 343-2,127.0229987000,37.4520217000,240
과천시,농장10,산란계,13820,,경기도 과천시 주암동 441,127.0223304000,37.4463005000,20
과천시,농장11,산란계,13828,,경기도 과천시 문원동 50,127.0019782000,37.4191098000,74
과천시,농장12,산란계,13825,경기도 과천시 매봉로 45,경기도 과천시 문원동 937-1,126.9965903000,37.4123341000,19
과천시,농장13,산란계,13825,경기도 과천시 매봉로 49,경기도 과천시 문원동 938-1,126.9970534000,37.4124693000,19
과천시,농장14,산란계,13827,경기도 과천시 윗배랭이길 8,경기도 과천시 문원동 180,127.0058306000,37.4257772000,12
과천시,농장15,산란계,13820,,경기도 과천시 주암동 386,127.0200036000,37.4513014000,45
과천시,농장16,산란계,13824,경기도 과천시 갈현로 96-14,경기도 과천시 갈현동 132-15,126.9902200000,37.4097207000,500
과천시,농장17,산란계,13825,경기도 과천시 구리안로 71-1,경기도 과천시 문원동 480,126.9956975000,37.4167490000,100
과천시,농장18,산란계,13819,,경기도 과천시 주암동 59,127.0340792000,37.4639396000,28
과천시,농장2,산란계,13820,경기도 과천시 말두레로 173-4,경기도 과천시 주암동 385-1,127.0202184000,37.4517158000,40
과천시,농장3,산란계,13816,경기도 과천시 경마공원대로 118-5,경기도 과천시 과천동 192-4,127.0062493000,37.4422746000,15
과천시,농장4,산란계,13840,경기도 과천시 가일1로 5,경기도 과천시 갈현동 423-1,126.9784480000,37.4168277000,150
과천시,농장5,산란계,13816,경기도 과천시 경마공원대로 90-17,경기도 과천시 과천동 210-11,127.0053341000,37.4434099000,20
과천시,농장6,산란계,13813,경기도 과천시 무네미길 56,경기도 과천시 과천동 438-1,126.9982821000,37.4527442000,100
과천시,농장7,산란계,13813,경기도 과천시 무네미길 36,경기도 과천시 과천동 443,126.9987794000,37.4519693000,7
과천시,농장8,산란계,13821,,경기도 과천시 과천동 139-22,127.0083289000,37.4474372000,10
과천시,농장9,산란계,,,경기도 과천시 과천동 233-10,127.0053906000,37.4458786000,50
광주시,경안농장,육계,12764,경기도 광주시 역동로 52-133,경기도 광주시 역동 84,127.2491194000,37.4034192000,50000
광주시,광주농장,산란계,12729,경기도 광주시 초월읍 산수로554번길 11,경기도 광주시 초월읍 신월리 409-1,127.3070816000,37.4118348000,70000
광주시,길샘축산,산란계,12731,,경기도 광주시 초월읍 학동리 88,127.3403568000,37.3888951000,120000
광주시,대승농장,산란계,12735,경기도 광주시 초월읍 무들로8번길 28-9,경기도 광주시 초월읍 대쌍령리 53,127.2935885000,37.3838925000,46000
광주시,도선농장,산란계,12725,경기도 광주시 곤지암읍 내선길 176-12,경기도 광주시 곤지암읍 이선리 428-1,127.4219060000,37.3601534000,40000
광주시,영생농장 3단지,산란계,12720,경기도 광주시 곤지암읍 광여로862번길 86,경기도 광주시 곤지암읍 건업리 405,127.4095732000,37.3840101000,120000
광주시,영일농장,산란계,12726,경기도 광주시 곤지암읍 만삼로 9-51,경기도 광주시 곤지암읍 유사리 355-4,127.4067385000,37.3733699000,120000
광주시,우리농장,산란계,12720,경기도 광주시 곤지암읍 광여로862번길 83,경기도 광주시 곤지암읍 건업리 405-6,127.4092131000,37.3821462000,64000
광주시,중원축산,육계,12729,경기도 광주시 초월읍 산수로 573,경기도 광주시 초월읍 신월리 399-2,127.3052726000,37.4114160000,10000
광주시,칠성농장,산란계,12769,경기도 광주시 직동로 49,경기도 광주시 직동 56-3,127.1973491000,37.4000288000,30000
김포시,가우농장,산란계,10030,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 633번지,126.5849462000,37.6777090000,16000
김포시,가현농장,산란계,,,경기도 김포시 통진읍 가현리 산 50번지,126.5843893000,37.6820137000,8000
김포시,가현농장,산란계,10030,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 604번지 6호 외 2필지,126.5881461000,37.6750985000,40000
김포시,가현농장,산란계,10030,,경기도 김포시 통진읍 가현리 607번지,126.5876762000,37.6760159000,9700
김포시,갈산농장,육계,10025,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440번지 1호,126.5613374000,37.7058410000,260
김포시,거목농장,육계,10010,경기도 김포시 통진읍 월하로 586-62,경기도 김포시 통진읍 귀전리 712번지 2호,126.6196141000,37.7078738000,60000
김포시,공주양계장,육계,10045,,경기도 김포시 양촌읍 유현리 441번지,126.6156197000,37.6342161000,12000
김포시,규은농장,산란계,10124,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439번지 43호,126.7730480000,37.6086077000,14
김포시,규환농장,육계,10006,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,126.6367774000,37.7643639000,250
김포시,금산농장,산란계,,,경기도 김포시 양촌읍 누산리 1036번지 111호,126.6463128000,37.6715678000,45000
김포시,금화농장,산란계,10025,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 629번지,126.5396820000,37.6888200000,227880
김포시,기원농장,육계,10029,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294번지 3호,126.5765090000,37.6842649000,24000
김포시,기철농장,육계,,,경기도 김포시 양촌읍 양곡리 821번지,126.6330624000,37.6555979000,19000
김포시,김포 자연 농장,산란계,10014,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114번지 1호,126.6259191000,37.6855143000,30000
김포시,김포동물농장,산란계,10076,경기도 김포시 김포대로 1148,경기도 김포시 운양동 213번지 12호,126.6955550000,37.6348298000,170
김포시,김포축산,산란계,10064,경기도 김포시 양촌읍 석모1로 36,경기도 김포시 양촌읍 석모리 547번지 6호,126.6592221000,37.6545689000,11000
김포시,깻잎농원,육계,10123,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호,126.7674593000,37.6174983000,100
김포시,농업회사법인 (주)제일영농,육계,10012,,경기도 김포시 하성면 석탄리 734번지 7호,126.6521694000,37.7204533000,1000
김포시,담안에 농원,육계,10006,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140번지 2호,126.6452782000,37.7666154000,300
김포시,대곶농장,육계,10040,,경기도 김포시 대곶면 율생리 570번지,126.5766436000,37.6508217000,300
김포시,대명농장,육계,10040,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,126.5594263000,37.6535152000,20000
김포시,대명농장Ⅱ,육계,10040,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지,126.5581819000,37.6550691000,25000
김포시,대성농장,육계,10049,,경기도 김포시 양촌읍 학운리 1032번지,126.6002798000,37.6090818000,20000
김포시,대포농장,육계,10048,,경기도 김포시 양촌읍 대포리 261번지 18호,126.6283692000,37.6130484000,30000
김포시,도수농장,산란계,10030,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호,126.5893340000,37.6836799000,20000
김포시,도현 농장,산란계,10033,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,126.6010641000,37.6758730000,0
김포시,동해농장,산란계,10069,,경기도 김포시 양촌읍 구래리 742번지,126.6308684000,37.6319947000,12000
김포시,두레농장,육계,10046,경기도 김포시 대곶면 삭시갈마로 73,경기도 김포시 대곶면 대능리 700번지,126.6008683000,37.6259950000,1300
김포시,두우농장,육계,,,경기도 김포시 양촌읍 구래리 산 198번지,126.6194132000,37.6499864000,23000
김포시,드림농장,산란계,10023,경기도 김포시 월곶면 월하로 87,경기도 김포시 월곶면 갈산리 200번지,126.5662604000,37.7133102000,1000
김포시,루디요안 농장,산란계,10001,경기도 김포시 월곶면 용강로437번길 45-26,경기도 김포시 월곶면 용강리 335번지 7호,126.5534813000,37.7561114000,120
김포시,말무리농장,산란계,10010,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,126.6064434000,37.7321740000,5000
김포시,명석농장,육계,10022,경기도 김포시 월곶면 고척로 7,경기도 김포시 월곶면 갈산리 19번지,126.5785348000,37.7147065000,20000
김포시,무량농장,육계,10045,,경기도 김포시 양촌읍 구래리 295번지 23호,126.6173338000,37.6445198000,20000
김포시,문수골농원,육계,10000,,경기도 김포시 월곶면 성동리 212번지 7호,126.5343697000,37.7402794000,35
김포시,미혜농장,산란계,10046,,경기도 김포시 대곶면 대능리 622번지 23호,126.5927044000,37.6212458000,1000
김포시,미화농장,산란계,10030,,경기도 김포시 통진읍 가현리 625번지 8호,126.5858630000,37.6779556000,12000
김포시,민호농장,산란계,10030,,경기도 김포시 통진읍 가현리 665번지,126.5848702000,37.6750960000,10000
김포시,밤농장,육계,,,경기도 김포시 양촌읍 구래리 산 118번지,126.6194132000,37.6499864000,150
김포시,방글농장,산란계,10013,,경기도 김포시 하성면 봉성리 258번지 2호,126.6475807000,37.6932938000,12000
김포시,방씨농장,육계,10050,경기도 김포시 대곶면 약암로 522-24,경기도 김포시 대곶면 대벽리 803번지,126.5617278000,37.6054122000,200
김포시,백산농원,육계,,,경기도 김포시 양촌읍 구래리 산 37번지,126.6194132000,37.6499864000,10000
김포시,범아농장,산란계,,,경기도 김포시 월곶면 포내리 산 14번지 12호,126.5381989000,37.7248072000,30000
김포시,병기농장,육계,10028,경기도 김포시 대곶면 대곶로430번길 78,경기도 김포시 대곶면 석정리 238번지,126.5573935000,37.6789056000,30000
김포시,봉골농장,산란계,10024,,"경기도 김포시 월곶면 군하리 323번지 2호 ,323-70번지",126.5533690000,37.7071173000,83000
김포시,봉룡농장,산란계,10024,경기도 김포시 월곶면 김포대로2659번길 5-178,경기도 김포시 월곶면 군하리 323번지 27호,126.5524564000,37.7061498000,14000
김포시,봉림농장,산란계,10038,경기도 김포시 통진읍 가현로 28,경기도 김포시 통진읍 가현리 810번지,126.5826458000,37.6675380000,40000
김포시,봉성농장,산란계,10015,경기도 김포시 통진읍 동을산로106번길 172-107,경기도 김포시 통진읍 동을산리 496번지,126.6196083000,37.6935936000,30000
김포시,부부농장,육계,10056,경기도 김포시 양촌읍 양곡2로 134-78,경기도 김포시 양촌읍 양곡리 183번지 4호,126.6305845000,37.6661855000,35000
김포시,부부농장,육계,10055,경기도 김포시 양촌읍 양곡3로 104-60,경기도 김포시 양촌읍 석모리 690번지 1호,126.6408342000,37.6583790000,40000
김포시,산골농장,산란계,,,경기도 김포시 통진읍 가현리 산 50번지 3호,126.5843893000,37.6820137000,15000
김포시,산천농장,육계,10041,,경기도 김포시 대곶면 신안리 247번지 2호,126.5399324000,37.6503500000,440
김포시,상권 농장,산란계,10010,경기도 김포시 통진읍 애기봉로523번길 155,경기도 김포시 통진읍 귀전리 103번지 1호,126.6022297000,37.7331148000,147
김포시,상림,산란계,10038,,경기도 김포시 통진읍 가현리 809번지 1호,126.5835584000,37.6685143000,9000
김포시,상헌농장,산란계,10004,경기도 김포시 하성면 평화공원로70번길 284-129,경기도 김포시 하성면 가금리 310번지,126.6075838000,37.7374484000,3000
김포시,샘재 양계장,육계,,,경기도 김포시 운양동 119번지 8호,126.6985015000,37.6484871000,25000
김포시,서울농장,산란계,,,경기도 김포시 대곶면 송마리 산 56번지,126.5832814000,37.6653600000,9800
김포시,서울양계장,육계,10026,경기도 김포시 대곶면 쇄암로89번길 35,경기도 김포시 대곶면 쇄암리 391번지,126.5446719000,37.6756765000,0
김포시,석정농장,육계,10028,,경기도 김포시 대곶면 석정리 237번지,126.5566772000,37.6792633000,45000
김포시,성수농장,육계,10014,경기도 김포시 통진읍 하성로 141-32,경기도 김포시 통진읍 수참리 67번지 1호,126.6307205000,37.6888721000,50000
김포시,성호농장,산란계,10013,,경기도 김포시 하성면 하사리 202번지,126.6366165000,37.6979812000,21
김포시,세명농장,산란계,10047,,경기도 김포시 양촌읍 학운리 253번지,126.6112559000,37.6259939000,40000
김포시,수현2 농장,육계,10020,경기도 김포시 월곶면 포내로 124,경기도 김포시 월곶면 포내리 252번지 4호,126.5285970000,37.7257330000,30000
김포시,수현농장,육계,10020,,경기도 김포시 월곶면 포내리 251번지 6호,126.5289814000,37.7241489000,25000
김포시,시암청정농원,육계,10006,,경기도 김포시 하성면 시암리 396번지,126.6339432000,37.7614721000,400
