시군명,농장명,축종명,상세구분,사육두수(마리),소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,데이터기준일자,비고
가평군,태우,닭,육계,36000,17180,경기도 용인시 처인구 백암면 백봉로165번길 47,경기도 용인시 처인구 백암면 백봉리 1135번지 3호,37.1500643000,127.3809190000
가평군,한흥,닭,토종닭,20000,17119,경기도 용인시 처인구 남사면 통삼로 282-104,경기도 용인시 처인구 남사면 통삼리 14번지 1호,37.1247289000,127.1389162000
가평군,해진,닭,육계,18000,17138,경기도 용인시 처인구 이동읍 묘봉로 171-26,경기도 용인시 처인구 이동읍 묘봉리 326번지,37.1313939000,127.2291828000
가평군,혁식,닭,백세미,73000,17142,,경기도 용인시 처인구 해곡동 84번지,37.1807214000,127.2743176000
가평군,호현,닭,육계,80000,17137,경기도 용인시 처인구 이동읍 경기동로785번길 164,경기도 용인시 처인구 이동읍 송전리 1223번지,37.1370363000,127.2185416000
고양시,강매농장,닭,산란계,1000,10441,경기도 고양시 덕양구 강매로 136,경기도 고양시 덕양구 강매동 662-2번지,37.6001914000,126.8433162000
고양시,강범농장,닭,육계,30,10305,경기도 고양시 일산동구 고일로 60-7,경기도 고양시 일산동구 식사동 1087번지,37.6683790000,126.8032623000
고양시,강아지나라,닭,산란계,20,10265,,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382000,126.8690901000
고양시,경오농장,닭,육계,120,10454,,경기도 고양시 덕양구 주교동 1404번지 0호,37.6541874000,126.8190406000
고양시,고골농장,닭,육계,1000,10265,,경기도 고양시 덕양구 관산동 605번지 13호,37.7125994000,126.8675380000
고양시,고양축산영농조합법인,닭,육계,52000,17168,경기도 용인시 처인구 원삼면 원양로124번길 32-3,경기도 용인시 처인구 원삼면 고당리 150번지 6호 외 3필지,37.1728636000,127.3114244000
고양시,구구축산농원,닭,육계,40000,17169,,경기도 용인시 처인구 원삼면 문촌리 55번지 2호,37.1527547000,127.3035079000
고양시,구현농장,오리,,213,10427,경기도 고양시 덕양구 신평길 254,경기도 고양시 덕양구 신평동 26-176번지,37.6281376000,126.7807703000
고양시,금화농장,닭,육계,20000,17179,경기도 용인시 처인구 백암면 박곡로216번길 20-46,경기도 용인시 처인구 백암면 박곡리 163번지,37.1712316000,127.4023049000
고양시,내유농장,닭,육계,30000,17123,경기도 용인시 처인구 남사면 전원로 138,경기도 용인시 처인구 남사면 방아리 298번지 태영농장,37.1182596000,127.1857119000
고양시,능곡축산,닭,육계,150,10511,경기도 고양시 덕양구 지도로124번길 58,경기도 고양시 덕양구 토당동 897번지,37.6273583000,126.8260961000
고양시,다온,닭,육계,14,10455,경기도 고양시 덕양구 호국로 659-16,경기도 고양시 덕양구 화정동 795-5번지,37.6471919000,126.8282927000
고양시,닭미장,닭,육계,20,10276,,경기도 고양시 덕양구 선유동 114번지 1호,37.6942912000,126.9142849000
고양시,담주농장,닭,육계,53,10276,경기도 고양시 덕양구 선유길 111,경기도 고양시 덕양구 선유동 355-1번지,37.6795740000,126.9084757000
