축산업 사업장 명칭,주사육업종,사업장소재지
대덕황토한우,한우,"전라남도 장흥군 대덕읍 가학리 160번지 25호 , 160-28, 438, 439, 850-2 "
삼교축산,한우,전라남도 장흥군 안양면 해창리 690번지  
전남축산,한우,전라남도 장흥군 대덕읍 도청리 599번지 1호 외 2필지 
영훈,한우,전라남도 장흥군 대덕읍 연정리 422번지 
초원목장2,한우,"전라남도 장흥군 안양면 지천리 304번지 , 304-1번지 "
덕촌농장,한우,전라남도 장흥군 대덕읍 잠두리 301번지  
,한우,전라남도 장흥군 장동면 만년리 662번지 11호  
박**,한우,전라남도 장흥군 대덕읍 연지리 284-3번지  
,한우,전라남도 장흥군 장평면 기동리 17번지 8호  
덕산농장,한우,전라남도 장흥군 대덕읍 연정리 541번지  
,한우,전라남도 장흥군 장평면 축내리 737번지  
,한우,전라남도 장흥군 대덕읍 잠두리 685번지 외 1필지 
,한우,전라남도 장흥군 대덕읍 연지리 5번지 154호  
,한우,전라남도 장흥군 장평면 축내리 550번지 6호  
,한우,전라남도 장흥군 대덕읍 연정리 722번지 4호  
,한우,전라남도 장흥군 장평면 제산리 833번지 3호  
,한우,전라남도 장흥군 대덕읍 신월리 175번지 2호  
두산농장,한우,"전라남도 장흥군 장평면 두봉리 779, 792, 793번지 "
,한우,전라남도 장흥군 대덕읍 잠두리 613번지 2호  
용두농축산,한우,전라남도 장흥군 장평면 등촌리 465번지 1호  
,한우,"전라남도 장흥군 장평면 청용리 315, 281-1, 316-14, 412-2, 315-6, 412-1번지 "
에덴축산,한우,전라남도 장흥군 대덕읍 연정리 1330-3번지 
,한우,전라남도 장흥군 장평면 내동리 463번지 1호 외 2필지 
,한우,전라남도 장흥군 대덕읍 도청리 424번지  
,한우,전라남도 장흥군 유치면 대리 971번지 2호  
백자길축산,한우,전라남도 장흥군 용산면 월송리 728번지 9호  
한치골 농장,한우,"전라남도 장흥군 유치면 조양리 205-1, 205번지 "
영풍농장,한우,전라남도 장흥군 용산면 계산리 336번지 3호 외 1필지 
재윤농장,한우,"전라남도 장흥군 용산면 접정리 593, 593-1, 713번지 "
,한우,전라남도 장흥군 용산면 운주리 63번지 3호  
,한우,전라남도 장흥군 용산면 관지리 104번지  
,한우,전라남도 장흥군 용산면 풍길리 313번지  
깊은내농장,한우,전라남도 장흥군 부산면 지천리 305번지  
,한우,전라남도 장흥군 용산면 모산리 110번지  
,한우,전라남도 장흥군 용산면 접정리 112번지  
,한우,전라남도 장흥군 부산면 호계리 202번지 1호  
이**농장,한우,"전라남도 장흥군 용산면 접정리 604, 603-1, 608번지 "
내안농장,한우,전라남도 장흥군 부산면 내안리 360번지 5호  
,한우,전라남도 장흥군 회진면 신상리 417번지  
도청농장,한우,전라남도 장흥군 대덕읍 도청리 515번지  
,한우,전라남도 장흥군 안양면 해창리 504번지 1호  
,한우,전라남도 장흥군 안양면 해창리 337번지 3호  
제이팜,한우,"전라남도 장흥군 안양면 해창리 338번지 1호 , 338, 300-1 "
,한우,전라남도 장흥군 부산면 호계리 207번지 1호  
,한우,전라남도 장흥군 부산면 호계리 511번지  
,한우,전라남도 장흥군 부산면 호계리 200번지 2호  
,한우,전라남도 장흥군 부산면 호계리 200번지 2호  
,한우,전라남도 장흥군 장흥읍 금산리 149번지 1호  
,한우,전라남도 장흥군 장흥읍 행원리 731번지 3호  
,한우,전라남도 장흥군 관산읍 용전리 275번지 5호  
오산농장,한우,전라남도 장흥군 대덕읍 연지리 813번지 27호  
,한우,전라남도 장흥군 대덕읍 신월리 711번지 4호  
두호축산,한우,전라남도 장흥군 용산면 상발리 160번지 3호 외 1필지 
,한우,전라남도 장흥군 안양면 기산리 50번지  
남우축산,한우,전라남도 장흥군 장평면 용강리 213번지  
,한우,전라남도 장흥군 회진면 진목리 1757번지 6호 외 4필지 
,한우,전라남도 장흥군 회진면 회진리 902번지  
,한우,전라남도 장흥군 회진면 대리 181번지  
,한우,전라남도 장흥군 회진면 회진리 889번지  
일우축산,한우,전라남도 장흥군 장흥읍 향양리 1015번지 9호 외 1필지 
,한우,전라남도 장흥군 장흥읍 사안리 275번지  
,한우,전라남도 장흥군 장흥읍 순지리 18번지  
,한우,전라남도 장흥군 대덕읍 신월리 9번지 1호  
,한우,전라남도 장흥군 안양면 당암리 산 46번지 8호  
남영축산,한우,전라남도 장흥군 안양면 해창리 539번지 외 4필지 
,한우,전라남도 장흥군 안양면 해창리 392번지  
,한우,"전라남도 장흥군 안양면 사촌리 44번지 1호 , 44-4번지 "
,한우,전라남도 장흥군 안양면 해창리 390번지  
,한우,전라남도 장흥군 안양면 기산리 741번지 5호  
,한우,전라남도 장흥군 안양면 해창리 10번지  
안양축산,한우,전라남도 장흥군 안양면 해창리 492번지 1호  
,한우,전라남도 장흥군 안양면 해창리 489번지 3호  
,한우,전라남도 장흥군 안양면 해창리 6번지 2호  
,한우,전라남도 장흥군 안양면 지천리 10번지  
,한우,전라남도 장흥군 안양면 해창리 16번지  
,한우,전라남도 장흥군 안양면 지천리 9번지  
,한우,전라남도 장흥군 안양면 지천리 188번지 1호  
,한우,전라남도 장흥군 안양면 지천리 228번지 1호  
,한우,전라남도 장흥군 안양면 지천리 220번지 1호  
,한우,전라남도 장흥군 유치면 신월리 691번지  
한** 축산,한우,"전라남도 장흥군 회진면 회진리 604, 604-7번지 "
,한우,전라남도 장흥군 회진면 덕산리 823번지  
마장농장,한우,전라남도 장흥군 회진면 진목리 772번지 외1필지 
,한우,전라남도 장흥군 장흥읍 금산리 756번지  
,한우,전라남도 장흥군 용산면 어산리 706번지 1호  
김**농장,한우,전라남도 장흥군 용산면 어산리 234번지 1호  
,한우,전라남도 장흥군 용산면 모산리 16번지 13호  
,한우,전라남도 장흥군 용산면 월송리 427번지 1호  
,한우,전라남도 장흥군 용산면 계산리 산 70번지  
,한우,전라남도 장흥군 용산면 인암리 733번지 1호  
,한우,전라남도 장흥군 용산면 상금리 555번지 7호  
주원농장,한우,전라남도 장흥군 용산면 상금리 734번지 1호  
모산농장,한우,전라남도 장흥군 용산면 모산리 233번지  
,한우,"전라남도 장흥군 용산면 모산리 580, 581, 582-2, 582-3, 583-1번지 "
,한우,전라남도 장흥군 용산면 녹원리 355번지  
승주농장,한우,"전라남도 장흥군 용산면 계산리 401번지 13호 , 401-15, 401-24번지 "
기혁농장,한우,전라남도 장흥군 용산면 계산리 405번지 11호  
종국농장,한우,전라남도 장흥군 용산면 상금리 495번지 1호  
고**농장,한우,"전라남도 장흥군 용산면 녹원리 195-1, 343-45, 341-1번지 "
종길농장,한우,"전라남도 장흥군 용산면 녹원리 114, 114-1, 114-2, 115, 115-1번지 "
,한우,전라남도 장흥군 용산면 인암리 416번지 4호  
,한우,전라남도 장흥군 용산면 접정리 296번지 3호  
재민농장,한우,전라남도 장흥군 용산면 모산리 235번지  
,한우,전라남도 장흥군 회진면 대리 417번지  
,한우,전라남도 장흥군 장흥읍 금산리 228번지 2호  
,한우,전라남도 장흥군 장흥읍 덕제리 458번지  
,한우,전라남도 장흥군 장흥읍 향양리 244번지 2호  
,한우,"전라남도 장흥군 관산읍 외동리 224번지 , 221-2 "
,한우,전라남도 장흥군 관산읍 삼산리 894번지 10호  
,한우,전라남도 장흥군 관산읍 삼산리 1743번지 7호  
,한우,전라남도 장흥군 관산읍 송촌리 425번지  
길현농장,한우,"전라남도 장흥군 관산읍 죽청리 산 17번지 1호 , 385-6, 385-7, 12, 11-4, 13-2, 14, 134 "
,한우,전라남도 장흥군 관산읍 부평리 147번지  
,한우,전라남도 장흥군 관산읍 옥당리 525번지 17호  
계만농장,한우,"전라남도 장흥군 관산읍 옥당리 773번지 7호 , 773-5, 773-6, 773-9번지 "
,한우,전라남도 장흥군 관산읍 옥당리 741번지 1호  
용재농장,한우,전라남도 장흥군 관산읍 지정리 254번지 1호  
,한우,전라남도 장흥군 관산읍 용전리 296번지 11호  
,한우,전라남도 장흥군 관산읍 죽청리 159번지  
김**,한우,전라남도 장흥군 관산읍 죽청리 189번지  
재정농장,한우,"전라남도 장흥군 관산읍 삼산리 184-27, 184-26번지 "
,한우,전라남도 장흥군 관산읍 삼산리 308번지  
,한우,전라남도 장흥군 관산읍 신동리 583번지 3호  
수원농장,한우,전라남도 장흥군 관산읍 삼산리 171번지 /120-3번지 
,한우,전라남도 장흥군 관산읍 삼산리 143번지 1호  
남가네 농장,한우,전라남도 장흥군 관산읍 삼산리 276번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 752번지 57호  
,한우,전라남도 장흥군 대덕읍 연지리 728번지  
,한우,전라남도 장흥군 관산읍 외동리 712번지  
,한우,전라남도 장흥군 관산읍 외동리 586번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 409번지 3호  
,한우,전라남도 장흥군 관산읍 외동리 228번지  
,한우,전라남도 장흥군 관산읍 외동리 194번지 외 2필지 
,한우,전라남도 장흥군 관산읍 외동리 355번지  
수미농장,한우,전라남도 장흥군 관산읍 외동리 225번지  
,한우,전라남도 장흥군 관산읍 외동리 59번지 2호  
,한우,전라남도 장흥군 관산읍 신동리 180번지 3호  
,한우,전라남도 장흥군 관산읍 신동리 37번지 1호  
,한우,전라남도 장흥군 관산읍 신동리 351번지  
,한우,전라남도 장흥군 관산읍 방촌리 701번지 4호  
,한우,전라남도 장흥군 관산읍 옥당리 797번지  
혜진농장,한우,전라남도 장흥군 관산읍 용전리 293번지 2호  
,한우,전라남도 장흥군 관산읍 부평리 83번지 1호  
,한우,전라남도 장흥군 관산읍 성산리 39번지 3호  
주신목장,한우,전라남도 장흥군 관산읍 남송리 6-1번지 
신암축산,한우,전라남도 장흥군 대덕읍 신리 872번지  
,한우,전라남도 장흥군 대덕읍 도청리 252번지 1호  
봉천농원,한우,전라남도 장흥군 대덕읍 잠두리 685번지  
율지축산,한우,"전라남도 장흥군 대덕읍 가학리 460번지 2호 , 1152, 1137-1번지 "
,한우,전라남도 장흥군 대덕읍 가학리 549번지 5호  
맷돌농장,한우,전라남도 장흥군 대덕읍 연지리 12번지 8호  
재승농장,한우,전라남도 장흥군 대덕읍 신월리 719번지 1호  
,한우,전라남도 장흥군 대덕읍 가학리 357번지 1호  
,한우,"전라남도 장흥군 대덕읍 도청리 81-1, 482-1번지 "
천지축산,한우,전라남도 장흥군 대덕읍 가학리 732번지 1호  
,한우,전라남도 장흥군 대덕읍 잠두리 72번지  
,한우,"전라남도 장흥군 대덕읍 가학리 732번지 2호 , 733-1, 733-2, 733-3, 733-4 "
,한우,전라남도 장흥군 대덕읍 신월리 175번지 3호  
삼양사,한우,전라남도 장흥군 대덕읍 신월리 647번지  
진우농장,한우,전라남도 장흥군 대덕읍 연지리 225번지 5호  
,한우,전라남도 장흥군 대덕읍 신월리 614번지 2호 외 3필지 
,한우,"전라남도 장흥군 대덕읍 연지리 813번지 36호 , 813-2, 813-30, 813-31 "
,한우,전라남도 장흥군 대덕읍 가학리 156번지  
신암축산,한우,전라남도 장흥군 대덕읍 신리 513번지 6호  
순철농장,한우,"전라남도 장흥군 대덕읍 연정리 683번지 10호 , 683-11, 683-37, 683-42번지 "
,한우,전라남도 장흥군 대덕읍 잠두리 96번지  
,한우,전라남도 장흥군 용산면 월송리 356번지 1호  
,한우,전라남도 장흥군 용산면 관지리 435번지  
,한우,전라남도 장흥군 용산면 월송리 430번지  
,한우,전라남도 장흥군 용산면 관지리 264번지 1호  
,한우,전라남도 장흥군 안양면 해창리 14번지  
,한우,전라남도 장흥군 대덕읍 잠두리 72번지  
,한우,전라남도 장흥군 부산면 금자리 275번지  
,한우,전라남도 장흥군 관산읍 하발리 516번지 4호  
,한우,전라남도 장흥군 관산읍 농안리 331번지 2호  
만년농장,한우,전라남도 장흥군 안양면 기산리 565번지 1호  
,한우,전라남도 장흥군 회진면 대리 574번지  
동은농장,한우,전라남도 장흥군 관산읍 송촌리 440번지  
,한우,전라남도 장흥군 대덕읍 연정리 1341번지 5호  
유진축산,한우,전라남도 장흥군 대덕읍 연지리 15번지 26호  
한일농장,한우,"전라남도 장흥군 용산면 상금리 262번지 16호 , 262-17, 262-1, 262-5 "
영선농장,한우,전라남도 장흥군 유치면 조양리 643번지 1호  
,한우,전라남도 장흥군 회진면 회진리 1591번지 1호  
유성축산,한우,전라남도 장흥군 회진면 회진리 1217번지 5호  
,한우,전라남도 장흥군 회진면 진목리 1000번지  
태양농장,한우,전라남도 장흥군 회진면 진목리 1017번지 1호  
구인농장,한우,"전라남도 장흥군 회진면 회진리 1865번지 2호 , 1865-3, 1865-4, 1865-5, 1865-7 "
이**농장,한우,"전라남도 장흥군 관산읍 삼산리 408-67, 408-76, 408-77번지 "
,한우,전라남도 장흥군 관산읍 삼산리 산 12번지  
필봉,한우,전라남도 장흥군 용산면 접정리 669번지  
,한우,전라남도 장흥군 회진면 회진리 1856번지 1호  
,한우,전라남도 장흥군 장흥읍 행원리 70번지 1호  
청남농장,한우,전라남도 장흥군 장흥읍 사안리 168번지 3호  
민성축사,한우,전라남도 장흥군 관산읍 삼산리 3번지 10호  
은주네축사,한우,전라남도 장흥군 관산읍 삼산리 835번지 2호  
,한우,전라남도 장흥군 관산읍 신동리 657번지 1호  
,한우,전라남도 장흥군 관산읍 지정리 315번지 1호  
진양축산,한우,전라남도 장흥군 관산읍 방촌리 86번지 7호  
,한우,전라남도 장흥군 관산읍 방촌리 86번지 2호  
,한우,"전라남도 장흥군 대덕읍 잠두리 1095-1, 1095-2, 1107-1번지 "
,한우,전라남도 장흥군 용산면 풍길리 2번지 2호  
제일농장,한우,전라남도 장흥군 장평면 선정리 645번지 1호  
청태농장,한우,전라남도 장흥군 대덕읍 연정리 683번지 3호  
,한우,전라남도 장흥군 장흥읍 사안리 103번지 1호  
,한우,전라남도 장흥군 부산면 금자리 251번지  
평남농장,한우,전라남도 장흥군 관산읍 삼산리 281번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 48번지 3호 외3필지 
,한우,전라남도 장흥군 관산읍 하발리 961번지 3호  
,한우,전라남도 장흥군 관산읍 부평리 42번지  
가학농장,한우,전라남도 장흥군 대덕읍 가학리 1157번지 8호  
,한우,전라남도 장흥군 대덕읍 신월리 371번지  
새뜸농장,한우,전라남도 장흥군 회진면 덕산리 1765번지 6호 외 1필지 
송**,한우,전라남도 장흥군 회진면 진목리 687번지 2호  
두리농장,한우,전라남도 장흥군 대덕읍 잠두리 1008번지  
,한우,전라남도 장흥군 관산읍 삼산리 1672번지  
,한우,전라남도 장흥군 관산읍 하발리 726번지 4호  
,한우,전라남도 장흥군 관산읍 외동리 582번지 1호  
,한우,"전라남도 장흥군 관산읍 송촌리 391번지 2호 , 391-1 "
와룡축산,한우,전라남도 장흥군 관산읍 옥당리 523번지 11호  
중앙축산,한우,전라남도 장흥군 관산읍 송촌리 5번지 10호  
,한우,전라남도 장흥군 관산읍 방촌리 80번지  
가학축산,한우,전라남도 장흥군 대덕읍 가학리 109번지  
,한우,"전라남도 장흥군 대덕읍 연지리 5번지 7호 , 6-2, 5-11, 5-13번지 "
,한우,전라남도 장흥군 대덕읍 연지리 15번지 42호  
동서남북축산,한우,전라남도 장흥군 대덕읍 연지리 15번지 13호  
도청농장,한우,전라남도 장흥군 대덕읍 도청리 508번지 2호  
,한우,전라남도 장흥군 대덕읍 연지리 198번지  
동백목장,한우,전라남도 장흥군 안양면 비동리 산 82번지 5호  
,한우,전라남도 장흥군 장평면 양촌리 138번지  
정현농장,한우,"전라남도 장흥군 관산읍 방촌리 38번지 2호 , 38-3 "
평산농장,한우,전라남도 장흥군 관산읍 성산리 181번지 3호  
,한우,전라남도 장흥군 대덕읍 연지리 56번지 95호  
용균농장,한우,전라남도 장흥군 관산읍 외동리 58번지 2호  
,한우,전라남도 장흥군 용산면 상금리 313번지 6호  
,한우,전라남도 장흥군 회진면 신상리 2번지  
장산한우,한우,전라남도 장흥군 회진면 덕산리 217번지 3호  
,한우,전라남도 장흥군 회진면 진목리 248번지  
,한우,전라남도 장흥군 회진면 진목리 820번지  
천관축산,한우,전라남도 장흥군 관산읍 외동리 586번지 1호  
,한우,전라남도 장흥군 대덕읍 신월리 1034번지 1호  
석호축산,한우,전라남도 장흥군 장흥읍 축내리 18번지 15호  
푸른농장,한우,전라남도 장흥군 대덕읍 연정리 1300번지 2호  
은혜농장,한우,전라남도 장흥군 용산면 계산리 415번지 9호  
,한우,전라남도 장흥군 안양면 운흥리 568번지  
,한우,전라남도 장흥군 회진면 진목리 964번지  
영송축산,한우,전라남도 장흥군 장흥읍 향양리 802번지 4호  
,한우,전라남도 장흥군 관산읍 외동리 668번지 4호  
,한우,전라남도 장흥군 관산읍 외동리 산 83번지 4호  
경옥농장,한우,"전라남도 장흥군 관산읍 외동리 559번지 4호 , 559-5, 559-11번지 "
유미농장,한우,전라남도 장흥군 대덕읍 연정리 1311번지 1호  
참샘농장,한우,"전라남도 장흥군 안양면 당암리 656-3, 76-4, 653-1, 565-2, 972-1, 656-1, 976-13, 976-11번지 "
우산지렁이축산,한우,전라남도 장흥군 장평면 우산리 74번지 1호  
삼성농장,한우,전라남도 장흥군 회진면 회진리 419번지 1호  
박**농장,한우,전라남도 장흥군 장흥읍 평화리 166번지 5호  
,한우,전라남도 장흥군 관산읍 옥당리 737번지 4호  
,한우,전라남도 장흥군 관산읍 죽청리 279번지 1호  
흥천농장,한우,전라남도 장흥군 관산읍 삼산리 1333번지 3호  
,한우,전라남도 장흥군 대덕읍 신월리 175번지 1호  
이화농장,한우,전라남도 장흥군 대덕읍 신월리 532-3번지 
,한우,전라남도 장흥군 대덕읍 연정리 1301번지 1호  
,한우,전라남도 장흥군 대덕읍 가학리 744번지 2호  
,한우,전라남도 장흥군 대덕읍 신월리 650번지  
,한우,전라남도 장흥군 용산면 접정리 271번지 4호  
우봉축산,한우,전라남도 장흥군 장동면 배산리 115번지 1호  
한들농장,한우,전라남도 장흥군 회진면 대리 316번지  
은성농장,한우,전라남도 장흥군 대덕읍 연정리 722번지 5호 외2필지 
드렛골농장,한우,"전라남도 장흥군 장동면 조양리 332번지 14호 , 332-15 "
,한우,전라남도 장흥군 관산읍 외동리 721번지  
김**,한우,전라남도 장흥군 안양면 해창리 622번지 1호  
성민축산,한우,"전라남도 장흥군 관산읍 남송리 377-1, 377-2, 380 "
남송농장,한우,전라남도 장흥군 안양면 사촌리 433번지  
,한우,"전라남도 장흥군 관산읍 삼산리 323, 321, 324-12, 322, 320번지 "
,한우,전라남도 장흥군 유치면 봉덕리 120번지  
회덕축산,한우,전라남도 장흥군 회진면 대리 417번지  
,한우,전라남도 장흥군 관산읍 삼산리 3번지 4호  
,한우,전라남도 장흥군 장평면 양촌리 347번지  
,한우,전라남도 장흥군 장평면 양촌리 97번지 1호  
푸른축산,한우,전라남도 장흥군 장평면 양촌리 108번지 1호  
김**농장,한우,전라남도 장흥군 장흥읍 행원리 1244번지 16호  
늘봄한우,한우,전라남도 장흥군 용산면 인암리 845번지 1호 845-2 
,한우,전라남도 장흥군 회진면 회진리 1076번지 2호  
신일농장,한우,"전라남도 장흥군 대덕읍 연지리 128번지 , 129번지 "
,한우,전라남도 장흥군 장동면 용곡리 461번지 13호  
이**농장,한우,전라남도 장흥군 장흥읍 삼산리 349번지  
연희농장,한우,전라남도 장흥군 대덕읍 도청리 43번지 10호  
,한우,전라남도 장흥군 대덕읍 연정리 442번지 3호  
,한우,전라남도 장흥군 장동면 반산리 3번지 4호  
하나축산,한우,전라남도 장흥군 회진면 회진리 1354번지 2호  
,한우,전라남도 장흥군 관산읍 외동리 586번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 752번지 4호  
,한우,전라남도 장흥군 관산읍 외동리 170호  
,한우,전라남도 장흥군 관산읍 죽청리 314번지 9호  
,한우,전라남도 장흥군 관산읍 외동리 395번지  
,한우,전라남도 장흥군 대덕읍 신리 901번지  
,한우,전라남도 장흥군 용산면 상금리 313번지 6호  
찬선농장,한우,"전라남도 장흥군 용산면 녹원리 388-7, 388-14, 388-15번지 "
,한우,전라남도 장흥군 회진면 대리 200번지  
용두축산,한우,전라남도 장흥군 장평면 병동리 685번지 1호  
,한우,전라남도 장흥군 대덕읍 가학리 800번지  
,한우,전라남도 장흥군 관산읍 신동리 517번지 2호  
,한우,전라남도 장흥군 관산읍 하발리 992번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 583번지 1호  
기현농장,한우,전라남도 장흥군 안양면 수양리 457번지  
,한우,전라남도 장흥군 관산읍 용전리 295번지 13호  
,한우,전라남도 장흥군 용산면 상금리 150번지  
점만농장,한우,"전라남도 장흥군 용산면 월송리 269, 271-2, 273, 269-2번지 "
박**,한우,전라남도 장흥군 장흥읍 금산리 369번지  
,한우,전라남도 장흥군 장흥읍 해당리 140번지 3호  
,한우,전라남도 장흥군 장흥읍 사안리 168번지 3호  
,한우,전라남도 장흥군 대덕읍 연정리 1304번지 23호  
산호농장,한우,전라남도 장흥군 용산면 접정리 307번지 4호  
성운농장,한우,전라남도 장흥군 회진면 회진리 1317번지 4호  
,한우,전라남도 장흥군 장평면 내동리 120번지  
,한우,전라남도 장흥군 장평면 녹양리 180번지  
,한우,전라남도 장흥군 장평면 양촌리 250번지 1호  
,한우,전라남도 장흥군 부산면 구룡리 601번지  
,한우,전라남도 장흥군 대덕읍 분토리 402번지 3호  
,한우,전라남도 장흥군 회진면 진목리 437번지 5호  
,한우,전라남도 장흥군 관산읍 삼산리 60번지  
,한우,전라남도 장흥군 회진면 진목리 852번지 3호  
,한우,전라남도 장흥군 장흥읍 행원리 327번지 2호 외 
여동축산,한우,전라남도 장흥군 용산면 금곡리 263번지  
,한우,전라남도 장흥군 관산읍 삼산리 8번지 1호  
,한우,전라남도 장흥군 장흥읍 향양리 706번지 1호  
야곱농장,한우,전라남도 장흥군 장흥읍 사안리 130번지  
해솔축산,한우,전라남도 장흥군 대덕읍 연정리 723번지 외 1필지 
,한우,전라남도 장흥군 관산읍 용전리 266번지 5호  
정선농장,한우,"전라남도 장흥군 대덕읍 가학리 513번지 , 502-4번지 "
,한우,전라남도 장흥군 대덕읍 도청리 549번지  
,한우,전라남도 장흥군 관산읍 송촌리 403번지 3호  
,한우,전라남도 장흥군 관산읍 삼산리 1334번지 4호 외 1필지 
승수농장,한우,전라남도 장흥군 대덕읍 신리 442번지 2호  
,한우,전라남도 장흥군 관산읍 하발리 845-6번지 
,한우,전라남도 장흥군 용산면 어산리 286번지  
,한우,전라남도 장흥군 관산읍 삼산리 247번지 3호  
,한우,전라남도 장흥군 관산읍 외동리 273번지 7호  
,한우,전라남도 장흥군 관산읍 외동리 62번지 3호  
마리아농장,한우,전라남도 장흥군 관산읍 외동리 55번지 1호  
,한우,전라남도 장흥군 관산읍 지정리 1017번지 3호  
송현축산,한우,전라남도 장흥군 관산읍 송촌리 118번지  
,한우,전라남도 장흥군 관산읍 남송리 326번지  
,한우,전라남도 장흥군 관산읍 외동리 120번지  
영지한우 2농장,한우,"전라남도 장흥군 대덕읍 잠두리 598번지 1호 , 1072-1, 1072-2(주2, 나동) "
향매축산,한우,전라남도 장흥군 대덕읍 연지리 226번지  
갑부농장,한우,전라남도 장흥군 대덕읍 신리 124번지 8호  
,한우,전라남도 장흥군 안양면 비동리 25번지  
,한우,전라남도 장흥군 장평면 선정리 21번지 9호  
,한우,전라남도 장흥군 장흥읍 행원리 686번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 16번지 2호  
,한우,전라남도 장흥군 관산읍 용전리 224번지 1호  
,한우,전라남도 장흥군 관산읍 하발리 612번지 1호  
,한우,전라남도 장흥군 관산읍 옥당리 222번지 1호  
,한우,전라남도 장흥군 관산읍 농안리 350번지 1호  
,한우,전라남도 장흥군 관산읍 외동리 273번지 34호  
,한우,전라남도 장흥군 용산면 상발리 349번지  
,한우,전라남도 장흥군 관산읍 신동리 428번지 1호  
억대축산,한우,전라남도 장흥군 관산읍 송촌리 238번지 2호 외 2필지 
윤심농장,한우,"전라남도 장흥군 관산읍 신동리 583번지 , 583-3 "
,한우,전라남도 장흥군 관산읍 고마리 951번지 4호  
,한우,전라남도 장흥군 관산읍 신동리 13번지 2호  
최**,한우,전라남도 장흥군 관산읍 옥당리 806번지 2호  
,한우,전라남도 장흥군 관산읍 용전리 362번지  
,한우,전라남도 장흥군 대덕읍 연지리 17번지  
,한우,전라남도 장흥군 대덕읍 연정리 816번지 2호  
지성농장,한우,전라남도 장흥군 대덕읍 신월리 644번지 2호  
,한우,전라남도 장흥군 대덕읍 연정리 723번지 2호  
,한우,전라남도 장흥군 대덕읍 연정리 487번지  
미숙농장,한우,전라남도 장흥군 대덕읍 연정리 737-27번지 외5 
,한우,전라남도 장흥군 용산면 덕암리 79번지 7호  
한들농장,한우,전라남도 장흥군 안양면 사촌리 694번지 4호  
푸르른성솔농장,한우,"전라남도 장흥군 관산읍 남송리 376번지 1호 , 376-2, 305, 352-1번지 "
,한우,전라남도 장흥군 용산면 계산리 49번지  
,한우,전라남도 장흥군 관산읍 송촌리 178번지  
,한우,전라남도 장흥군 관산읍 송촌리 385번지 1호  
,한우,전라남도 장흥군 관산읍 송촌리 507번지  
,한우,전라남도 장흥군 관산읍 신동리 184번지 1호  
,한우,전라남도 장흥군 관산읍 죽청리 214번지  
한진축산,한우,전라남도 장흥군 회진면 회진리 1489번지 2호  
,한우,전라남도 장흥군 대덕읍 잠두리 산 126번지  
성열농장,한우,전라남도 장흥군 대덕읍 도청리 531번지  
선우목장,한우,전라남도 장흥군 대덕읍 연정리 981번지  
,한우,전라남도 장흥군 장동면 북교리 598번지 2호  
자정농장,한우,전라남도 장흥군 회진면 덕산리 120번지  
,한우,전라남도 장흥군 회진면 신상리 161번지  
,한우,전라남도 장흥군 안양면 기산리 562번지 1호  
녹향농장,한우,전라남도 장흥군 관산읍 성산리 278번지 3호  
,한우,전라남도 장흥군 관산읍 외동리 393번지 1호  
,한우,전라남도 장흥군 관산읍 고마리 963번지 2호  
,한우,전라남도 장흥군 대덕읍 도청리 380번지  
,한우,전라남도 장흥군 대덕읍 가학리 187번지 1호  
도열농장,한우,"전라남도 장흥군 용산면 덕암리 66, 70, 65, 71-1, 72-1번지 "
,한우,전라남도 장흥군 용산면 접정리 56번지 4호  
부경농장,한우,전라남도 장흥군 용산면 풍길리 217번지  
진철농장,한우,"전라남도 장흥군 용산면 접정리 162, 164, 666, 667-3번지 "
,한우,전라남도 장흥군 용산면 인암리 831번지 3호  
,한우,전라남도 장흥군 장동면 조양리 682번지 2호  
,한우,전라남도 장흥군 장평면 광평리 132번지  
,한우,전라남도 장흥군 부산면 내안리 429번지 1호  
영선,한우,전라남도 장흥군 회진면 회진리 1867번지 1호  
,한우,전라남도 장흥군 회진면 신상리 380번지  
,한우,전라남도 장흥군 안양면 해창리 6번지  
소양축산,한우,전라남도 장흥군 장흥읍 향양리 245번지 1호  
,한우,전라남도 장흥군 용산면 상발리 65번지 1호  
행복농장,한우,전라남도 장흥군 관산읍 성산리 375번지 2호  
,한우,전라남도 장흥군 관산읍 외동리 239번지 4호  
,한우,전라남도 장흥군 관산읍 삼산리 456번지  
,한우,전라남도 장흥군 장동면 북교리 300번지 70호  
,한우,전라남도 장흥군 유치면 봉덕리 228번지  
,한우,전라남도 장흥군 유치면 반월리 512번지 4호  
형준농장,한우,전라남도 장흥군 용산면 풍길리 41번지 22호  
,한우,전라남도 장흥군 안양면 지천리 226번지 1호  
,한우,전라남도 장흥군 안양면 지천리 19번지  
,한우,"전라남도 장흥군 회진면 덕산리 179번지 2호 , 121 "
,한우,전라남도 장흥군 유치면 신풍리 94번지 4호  
,한우,전라남도 장흥군 유치면 대리 1026번지 2호  
대희농장,한우,전라남도 장흥군 안양면 해창리 1217-6번지 
,한우,전라남도 장흥군 안양면 해창리 751번지 1호  
