축산업 사업장 명칭,주사육업종,사업장소재지
,오리,전라남도 장흥군 부산면 유량리 214번지 7호  
마미농장,오리,전라남도 장흥군 부산면 기동리 345번지 4호  
대한농장,오리,전라남도 장흥군 부산면 기동리 345번지 5호  
회진오리1농장,오리,전라남도 장흥군 회진면 회진리 1357번지  
모산농장,오리,전라남도 장흥군 용산면 모산리 30번지 10호 외1필지 
,오리,전라남도 장흥군 부산면 기동리 344번지 5호  
주한농장,오리,전라남도 장흥군 부산면 유량리 392번지 393번지 
신기농장,오리,전라남도 장흥군 장평면 기동리 228번지 2호  
태양오리,오리,전라남도 장흥군 장평면 기동리 691번지  
명수농장,오리,전라남도 장흥군 장동면 북교리 782번지 6호  
김**농장,오리,전라남도 장흥군 장평면 청용리 919번지 3호  
농업회사법인한국원종오리(유),오리,전라남도 장흥군 안양면 당암리 8번지 2호  
순복농장,오리,전라남도 장흥군 용산면 덕암리 461번지 1호 외 1필지 
하람농장,오리,전라남도 장흥군 관산읍 용전리 233번지 외 1필지 
덕암농장,오리,전라남도 장흥군 용산면 덕암리 439번지 8호 외 1필지 
은비치농장,오리,"전라남도 장흥군 안양면 수문리 327번지 4호 , 사촌리 33-1, 33-2, 33-3, 33-4 "
곰치2농장,오리,전라남도 장흥군 장평면 청용리 896번지 외 2필지 
이레농장,오리,전라남도 장흥군 장동면 북교리 350번지 2호  
오리가행복한농장,오리,전라남도 장흥군 회진면 덕산리 2110번지 2호 외 3필지 
곰치2농장,오리,전라남도 장흥군 장평면 청용리 896번지 외 2필지 
으뜸농장,오리,전라남도 장흥군 용산면 덕암리 459번지 2호 외 4필지 
유형농장,오리,전라남도 장흥군 장흥읍 사안리 411번지  
벧엘농장,오리,전라남도 장흥군 장동면 북교리 350번지  
회진오리2농장,오리,전라남도 장흥군 회진면 회진리 1334번지 외 2필지 
희망농장,오리,"전라남도 장흥군 용산면 풍길리 7번지 , 947-1, 600-5번지 "
영일농장,오리,전라남도 장흥군 장흥읍 덕제리 617번지 1호  
영섭농장,오리,전라남도 장흥군 부산면 유량리 276번지 외 1필지 
미애농장,오리,전라남도 장흥군 장평면 기동리 696번지  
사촌농장,오리,전라남도 장흥군 안양면 사촌리 33번지 1호  
해오름 오리농장,오리,"전라남도 장흥군 장평면 양촌리 605-3, 605-4, 605-5번지 "
박**,오리,전라남도 장흥군 용산면 접정리 304번지 8호  
곰치농장,오리,전라남도 장흥군 장평면 청용리 896번지 4호  
벧엘농장,오리,전라남도 장흥군 장동면 북교리 350번지 2호  
대성축산2농장,오리,"전라남도 장흥군 회진면 덕산리 2110-2번지(오리사), 2111-5번지(퇴비사) "
봉림농장,육계,전라남도 장흥군 장평면 봉림리 16-1번지  
삼산양계장,육계,전라남도 장흥군 장흥읍 삼산리 산 92번지 5호  
