연번,사업장명,주사육업종,사업장소재지,등록일자,데이터기준일자
353,○○축산,오리,전라남도 나주시 다시면 문동리,2005-08-30,2023-01-20
354,행복한 토종닭,육계,전라남도 나주시 다시면 가운리,2005-08-30,2023-01-20
358,○○팜,종계/산란계,전라남도 나주시 석현동 ,2005-08-30,2023-01-20
363,○○농장,육계,전라남도 나주시 문평면 옥당리,2005-09-13,2023-01-20
366,○○농장,육계,전라남도 나주시 공산면 중포리,2005-09-13,2023-01-20
390,○○농장,오리,전라남도 나주시 반남면 대안리,2005-10-18,2023-01-20
394,○○농장,오리,전라남도 나주시 세지면 성산리,2005-11-01,2023-01-20
398,○○농장,육계,전라남도 나주시 세지면 성산리,2005-11-01,2023-01-20
402,○○농장,육계,전라남도 나주시 문평면 북동리,2005-11-01,2023-01-20
407,○○농장,육계,전라남도 나주시 평산동 ,2005-11-08,2023-01-20
408,○○농장,육계,전라남도 나주시 반남면 청송리,2005-11-08,2023-01-20
420,○○양계장,종계/산란계,전라남도 나주시 봉황면 장성리,2005-11-28,2023-01-20
430,○○농장,오리,전라남도 나주시 남평읍 평산리,2005-12-13,2023-01-20
432,○○농장,오리,전라남도 나주시 남평읍 풍림리,2005-12-13,2023-01-20
435,○○농장,오리,전라남도 나주시 반남면 흥덕리,2005-12-13,2023-01-20
436,○○농장,오리,전라남도 나주시 관정동 ,2005-12-13,2023-01-20
437,○○농장,육계,전라남도 나주시 문평면 학동리,2005-12-13,2023-01-20
445,○○농장,육계,전라남도 나주시 반남면 청송리,2005-12-27,2023-01-20
475,○○농장,종계/산란계,전라남도 나주시 봉황면 옥산리,2006-01-18,2023-01-20
494,○○농장,육계,전라남도 나주시 문평면 계로리,2006-07-13,2023-01-20
496,○○농장,육계,전라남도 나주시 남평읍 우산리,2006-08-16,2023-01-20
501,○○농장,오리,전라남도 나주시 공산면 가송리,2006-10-04,2023-01-20
504,○○농장,오리,전라남도 나주시 왕곡면 덕산리,2006-11-01,2023-01-20
509,○○농장,종계/산란계,전라남도 나주시 다도면 신동리,2007-01-31,2023-01-20
513,○○농장,오리,전라남도 나주시 공산면 상방리,2007-03-20,2023-01-20
524,○○농장,오리,전라남도 나주시 공산면 남창리,2007-05-04,2023-01-20
525,○○농장,육계,전라남도 나주시 송촌동 ,2007-05-09,2023-01-20
537,○○농장,오리,전라남도 나주시 반남면 덕산리,2007-07-16,2023-01-20
548,○○농장,종계/산란계,전라남도 나주시 다도면 신동리,2007-11-28,2023-01-20
558,○○농장,오리,전라남도 나주시 남평읍 교촌리,2008-01-31,2023-01-20
561,○○농장,오리,전라남도 나주시 반남면 흥덕리,2008-02-20,2023-01-20
564,○○농장,육계,전라남도 나주시 남평읍 오계리,2008-02-29,2023-01-20
572,○○농장,육계,전라남도 나주시 다도면 신동리,2008-04-04,2023-01-20
583,○○농장,오리,전라남도 나주시 세지면 송제리,2008-04-10,2023-01-20
608,○○농장,오리,전라남도 나주시 남평읍 우산리,2008-04-23,2023-01-20
610,○○농장,오리,전라남도 나주시 왕곡면 신원리,2008-04-24,2023-01-20
611,○○농장,오리,전라남도 나주시 남평읍 우산리,2008-04-24,2023-01-20
614,○○농장,오리,전라남도 나주시 왕곡면 송죽리,2008-05-09,2023-01-20
619,○○농장,오리,전라남도 나주시 동강면 대전리,2008-05-13,2023-01-20
621,○○농장,오리,전라남도 나주시 세지면 성산리,2008-05-19,2023-01-20
624,○○농장,오리,전라남도 나주시 반남면 흥덕리,2008-06-04,2023-01-20
