축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,대원농산,오리,전라북도 부안군 계화면 의복리 1719번지 외 1필지 (1720) ,18000,2022-12-05
가축사육업,산지농장,육계,전라북도 부안군 보안면 월천리 993번지 11호  ,75000,2022-12-05
가축사육업,김산농장,육계,"전라북도 부안군 주산면 돈계리 773번지 1호 773-2,  773-3 ",140000,2022-12-05
가축사육업,아낙네오리농장,오리,전라북도 부안군 주산면 사산리 1205번지 5호  ,22000,2022-12-05
가축사육업,은성농장,육계,전라북도 부안군 주산면 사산리 4번지 외 5필 ,65000,2022-12-05
가축사육업,뽕이랑 귀농이랑,육계,전라북도 부안군 하서면 장신리 498번지 1호  ,1000,2022-12-05
가축사육업,승원농장,오리,전라북도 부안군 줄포면 신리 728번지 외 1필지(727번지) ,7000,2022-12-05
가축사육업,푸른농장,오리,전라북도 부안군 백산면 하청리 415번지 8호  ,8000,2022-12-05
가축사육업,종계백산,종계/산란계,전라북도 부안군 백산면 하청리 483번지 6호 외 6필지 ,60000,2022-12-05
가축사육업,태양농장,오리,"전라북도 부안군 줄포면 우포리 593번지 3호 외5필지(593-4,5,6,7,8) ",40000,2022-12-05
가축사육업,정숙농장,오리,전라북도 부안군 줄포면 파산리 810-4번지(2.3번지) ,10000,2022-12-05
가축사육업,태복농장,오리,전라북도 부안군 보안면 하입석리 475번지 1호  ,10000,2022-12-05
가축사육업,금판오리 농장,오리,"전라북도 부안군 백산면 금판리 817번지 1호 외 3필지(817-3, 4, 802-11) ",62000,2022-12-05
가축사육업,청호농장,오리,전라북도 부안군 계화면 의복리 1732번지 외 1필지(1731-2) ,30000,2022-12-05
가축사육업,유병채농장,오리,전라북도 부안군 계화면 양산리 2563번지 7호 외 1필 ,17000,2022-12-05
가축사육업,SG팜,육계,전라북도 부안군 동진면 동전리 1438번지  ,70000,2022-12-05
가축사육업,여월지향농장,오리,전라북도 부안군 상서면 용서리 723번지 6호 외 1필(723-5) ,20000,2022-12-05
가축사육업,미소농장,육계,전라북도 부안군 보안면 하입석리 1번지 29호  ,70000,2022-12-05
가축사육업,장등농장,오리,"전라북도 부안군 동진면 동전리 2561번지 2562,2562-1 ",10000,2022-12-05
가축사육업,소망농장,오리,"전라북도 부안군 주산면 사산리 1207번지 7호 1207-6,1207-5 ",15000,2022-12-05
가축사육업,김철수농장,오리,전라북도 부안군 동진면 동전리 1430번지 1431 ,14000,2022-12-05
가축사육업,창북농장,오리,전라북도 부안군 계화면 창북리 4515번지 6호 4515-7 ,16000,2022-12-05
