축산업종류,사업장명칭,주사육업종,사업장소재지,사육두수,데이터기준일자
가축사육업,승원농장,오리,전북특별자치도 부안군 줄포면 신리 727번지 외 1필지(728) ,7000,2024-11-19
가축사육업,푸른농장,오리,전북특별자치도 부안군 백산면 하청로 112,8000,2024-11-19
가축사육업,종계백산,종계/산란계,전북특별자치도 부안군 백산면 하청로 169 (외 6필지),60000,2024-11-19
가축사육업,태양농장,오리,"전북특별자치도 부안군 줄포면 우포리 593번지 3호 외5필지(593-4,5,6,7,8) ",40000,2024-11-19
가축사육업,정숙농장,오리,전북특별자치도 부안군 줄포면 파산신성길 125-15,10000,2024-11-19
가축사육업,태복농장,오리,전북특별자치도 부안군 보안면 하입석리 475번지 1호  ,10000,2024-11-19
가축사육업,금판오리 농장,오리,"전북특별자치도 부안군 백산면 금판리 817번지 1호 외 3필지(817-3, 4, 802-11) ",62000,2024-11-19
가축사육업,청호농장,오리,전북특별자치도 부안군 계화면 의복리 1732번지 외 1필지(1731-2) ,30000,2024-11-19
가축사육업,유병채농장,오리,전북특별자치도 부안군 계화면 양산리 2563번지 7호 외 1필 ,17000,2024-11-19
가축사육업,SG팜,육계,전북특별자치도 부안군 동진면 고마제로 328-7,70000,2024-11-19
가축사육업,여월지향농장,오리,전북특별자치도 부안군 상서면 용서리 723번지 6호 외 1필(723-5) ,20000,2024-11-19
가축사육업,미소농장,육계,전북특별자치도 부안군 보안면 상림로 43-25,70000,2024-11-19
가축사육업,장등농장,오리,"전북특별자치도 부안군 동진면 동전리 2561번지 2562,2562-1 ",10000,2024-11-19
가축사육업,소망농장,오리,전북특별자치도 부안군 주산면 사산길 97-109,20231,2024-11-19
가축사육업,김철수농장,오리,"전북특별자치도 부안군 동진면 동전리 1430번지 외 3필지(1431, 1432, 1432-1) ",33800,2024-11-19
가축사육업,창북농장,오리,전북특별자치도 부안군 계화면 새포로 499-74 (4515-7),16000,2024-11-19
가축사육업,소망농장,오리,전북특별자치도 부안군 동진면 동전길 51-42 (1735),15000,2024-11-19
가축사육업,행복농장,오리,전북특별자치도 부안군 동진면 동전길 51-32,0,2024-11-19
가축사육업,승리농장,오리,전북특별자치도 부안군 줄포면 화전길 57,10000,2024-11-19
가축사육업,늘봄농장,육계,전북특별자치도 부안군 상서면 부안로 2191,65000,2024-11-19
가축사육업,원농장,육계,전북특별자치도 부안군 상서면 부안로 2189,65000,2024-11-19
가축사육업,성하농장,육계,전북특별자치도 부안군 줄포면 파산신성길 125-45,76000,2024-11-19
가축사육업,이기석농장,육계,전북특별자치도 부안군 행안면 주산북로 63,60000,2024-11-19
가축사육업,천우농장,오리,"전북특별자치도 부안군 계화면 궁안리 1064번지 1065,1065-1 ",34079,2024-11-19
가축사육업,상우농장,육계,전북특별자치도 부안군 백산면 대죽리 869번지 8호 외 1필(869-13) ,80000,2024-11-19
가축사육업,김명수농장,육계,전북특별자치도 부안군 줄포면 파산신성길 125-19,100000,2024-11-19
가축사육업,다산농장,육계,"전북특별자치도 부안군 보안면 부안로 1360-57 (631-2, 631-3, 632-16)",90000,2024-11-19
가축사육업,산돌농원(제2농장),육계,전북특별자치도 부안군 주산면 종유로 271-32 (609-20),67000,2024-11-19
가축사육업,더불어참,육계,"전북특별자치도 부안군 동진면 새포로 869-110, , 869-116",100000,2024-11-19
가축사육업,강산자연농장,육계,전북특별자치도 부안군 동진면 새포로 895-110 (1855-6),70000,2024-11-19
가축사육업,선들농장,육계,전북특별자치도 부안군 보안면 보안로 68-40,88000,2024-11-19
가축사육업,행복농장,육계,전북특별자치도 부안군 백산면 백산로 17-100 (862-16),80000,2024-11-19
가축사육업,신성농장,육계,전북특별자치도 부안군 줄포면 파산신성길 126-6,95000,2024-11-19
가축사육업,가온농장,육계,전북특별자치도 부안군 행안면 새포로 99-23,130000,2024-11-19
가축사육업,성일농장,육계,전북특별자치도 부안군 행안면 새포로 99-31,0,2024-11-19
가축사육업,예근농장,육계,전북특별자치도 부안군 줄포면 감역길 26-70,89981,2024-11-19
가축사육업,해금농장,육계,"전북특별자치도 부안군 상서면 부안로 2213-46, 2213-48",100000,2024-11-19
가축사육업,대명농장,오리,전북특별자치도 부안군 계화면 새포로 641,24222,2024-11-19
가축사육업,해드림농장,육계,전북특별자치도 부안군 계화면 새포로 861-120,80000,2024-11-19
가축사육업,한울농장,육계,전북특별자치도 부안군 동진면 새포로 869-97,98000,2024-11-19
가축사육업,유진농장,육계,전북특별자치도 부안군 백산면 외하안길 42-56,80000,2024-11-19
가축사육업,예솔농장,육계,전북특별자치도 부안군 부안읍 외하안길 42-51,80000,2024-11-19
가축사육업,새한농장,메추리,전북특별자치도 부안군 백산면 백산서로 18,140000,2024-11-19
가축사육업,신원농장,육계,전북특별자치도 부안군 백산면 외하안길 42-54,90000,2024-11-19
가축사육업,예은농장,육계,전북특별자치도 부안군 줄포면 주을로 397-103,112800,2024-11-19
가축사육업,해피마실농장,오리,전북특별자치도 부안군 동진면 동전리 2588번지 1호 외 1필지(2589) ,13000,2024-11-19
가축사육업,행안농장,육계,전북특별자치도 부안군 행안면 새포로 67-21,85000,2024-11-19
가축사육업,청호축산,육계,전북특별자치도 부안군 행안면 새포로 59-22,80000,2024-11-19
가축사육업,농업회사법인가농유한회사 계화농장,육계,전북특별자치도 부안군 계화면 간재로 564-274,504000,2024-11-19
가축사육업,정영농장,육계,전북특별자치도 부안군 상서면 부안로 2189-24,120000,2024-11-19
가축사육업,해오름농장,육계,전북특별자치도 부안군 계화면 새포로 595-269,108000,2024-11-19
가축사육업,금산농장,육계,전북특별자치도 부안군 계화면 새포로 595-247,120000,2024-11-19
가축사육업,참 더불어,육계,전북특별자치도 부안군 동진면 새포로 869-104,55986,2024-11-19
가축사육업,진성농장,육용오리,"전북특별자치도 부안군 주산면 홍해송천길 98, 8-13동",25000,2024-11-19
가축사육업,누리농장,육계,전북특별자치도 부안군 계화면 양산리 2457번지 4호  ,50000,2024-11-19
가축사육업,누리농장,육계,전북특별자치도 부안군 계화면 양산리 2457번지 5호  ,50000,2024-11-19
가축사육업,욱이농장,오리,전북특별자치도 부안군 계화면 창북리 4455-13 ,0,2024-11-19
가축사육업,모리아팜,오리,전북특별자치도 부안군 줄포면 원장동길 150-38,29500,2024-11-19
가축사육업,반계농장,종계/산란계,전북특별자치도 부안군 진서면 진서리 80번지  ,80,2024-11-19
가축사육업,도담농장,육계,"전북특별자치도 부안군 동진면 새포로 869-101, 869-103",135233,2024-11-19
가축사육업,대명농장2,오리,전북특별자치도 부안군 계화면 새포로 651-13,18468,2024-11-19
가축사육업,소담농장,육계,전북특별자치도 부안군 동진면 새포로 869-81,60000,2024-11-19
가축사육업,마루농장,육계,전북특별자치도 부안군 동진면 새포로 869-79,60000,2024-11-19
가축사육업,아람농장,육계,전북특별자치도 부안군 동진면 새포로 869-73,40000,2024-11-19
가축사육업,부안 기러기 농장,기러기,전북특별자치도 부안군 행안면 변산로 264,1500,2024-11-19
가축사육업,오리농장,오리,전북특별자치도 부안군 줄포면 난산남월길 46-46,20000,2024-11-19
가축사육업,부안농장,육계,전북특별자치도 부안군 보안면 보안남로 104-51,65000,2024-11-19
가축사육업,이삭농장,육계,전북특별자치도 부안군 부안읍 외하안길 42-52,50000,2024-11-19
가축사육업,창북농장,육계,전북특별자치도 부안군 계화면 간재로 564-261,62671,2024-11-19
가축사육업,창북농장,육계,전북특별자치도 부안군 계화면 간재로 564-263,62863,2024-11-19
가축사육업,현덕농장,육계,"전북특별자치도 부안군 계화면 간재로 655-101, 외 1필지",20000,2024-11-19
가축사육업,탑농장,육계,전북특별자치도 부안군 계화면 간재로 709-160,80000,2024-11-19
가축사육업,햇살농장,육계,전북특별자치도 부안군 계화면 간재로 623-92,60000,2024-11-19
가축사육업,동암농장,육계,"전북특별자치도 부안군 계화면 간재로 655-121, 655-127",94240,2024-11-19
가축사육업,유정농장,육계,전북특별자치도 부안군 동진면 새포로 895-165,60000,2024-11-19
