시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
음성군,서원농장,닭,육계,80000.0,충청북도 음성군 금왕읍 호산리 925번지,,,2021-01-31,2021-01-14
음성군,석우농장,닭,종계/산란계,200000.0,충청북도 음성군 감곡면 상우리 3번지,,,2021-01-31,2021-01-14
음성군,수농장,오리,,12000.0,충청북도 음성군 대소면 삼정리 764번지 1호,,,2021-01-31,2021-01-14
음성군,아람농장,닭,육계,50000.0,충청북도 음성군 맹동면 봉현리 278번지,,,2021-01-31,2021-01-14
음성군,에덴농원,닭,육계,200.0,충청북도 음성군 금왕읍 오선리 390번지,,,2021-01-31,2021-01-14
음성군,열희농장,닭,육계,100000.0,충청북도 음성군 원남면 보천리 198번지,,,2021-01-31,2021-01-14
음성군,왕봉농장,오리,,5000.0,충청북도 음성군 맹동면 봉현리 193번지 5호,,,2021-01-31,2021-01-14
음성군,용원농장,닭,육계,70000.0,충청북도 음성군 맹동면 봉현리 353번지 외 3필지,,,2021-01-31,2021-01-14
음성군,우리농장,오리,,10500.0,충청북도 음성군 대소면 미곡리 374번지 3호,,,2021-01-31,2021-01-14
음성군,이레농장,닭,종계/산란계,8500.0,충청북도 음성군 생극면 임곡리 258번지 1호,,,2021-01-31,2021-01-14
음성군,일승오리농장,오리,,13000.0,충청북도 음성군 금왕읍 각회리 553번지,,,2021-01-31,2021-01-14
음성군,자연농장,닭,종계/산란계,15000.0,충청북도 음성군 생극면 임곡리 100번지 4호 외 1필지,,,2021-01-31,2021-01-14
음성군,장수농장,오리,,20000.0,충청북도 음성군 삼성면 천평리 355번지,,,2021-01-31,2021-01-14
음성군,중원농장,닭,육계,135000.0,충청북도 음성군 금왕읍 오선리 468번지 2호,,,2021-01-31,2021-01-14
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,,,2021-01-31,2021-01-14
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,,,2021-01-31,2021-01-14
음성군,짱구2농장,오리,,20000.0,충청북도 음성군 맹동면 봉현리 694번지,,,2021-01-31,2021-01-14
음성군,청해농장,오리,,7000.0,충청북도 음성군 삼성면 용대리 155번지,,,2021-01-31,2021-01-14
음성군,태호농장,오리,,15000.0,충청북도 음성군 맹동면 본성리 401번지 13호 외 2필지,,,2021-01-31,2021-01-14
음성군,태호농장 2,오리,,9500.0,충청북도 음성군 맹동면 본성리 402번지 2호 외 1필지,,,2021-01-31,2021-01-14
음성군,한가람농장,닭,육계,30000.0,충청북도 음성군 맹동면 용촌리 604번지,,,2021-01-31,2021-01-14
음성군,한국오리,오리,,12000.0,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213)",,,2021-01-31,2021-01-14
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,,,2021-01-31,2021-01-14
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,,,2021-01-31,2021-01-14
음성군,한솔제2농장,닭,종계/산란계,250000.0,충청북도 음성군 원남면 하노리 533번지 2호,,,2021-01-31,2021-01-14
음성군,한울,닭,육계,105000.0,충청북도 음성군 대소면 부윤리 238번지 외 5필지,,,2021-01-31,2021-01-14
