시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
경기도,김포시,약산농장,닭,산란계,12000.0,경기도 김포시 대곶면 약암리 산 47번지 1호,37.6344641782,126.5699667364,2021-06-30,2021-01-09
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,,,2021-04-30,2020-12-30
경기도,김포시,젖가락이 행복한 농장,닭,산란계,100.0,경기도 김포시 대곶면 대벽리 174번지 1호,37.6354276917,126.579044281,2021-06-30,2021-01-09
경기도,김포시,종훈농장,닭,산란계,10000.0,경기도 김포시 통진읍 옹정리 산 58번지,,,2021-04-30,2020-12-30
경기도,김포시,주일농장,닭,산란계,12000.0,경기도 김포시 양촌읍 학운리 산 20번지,,,2020-07-31,2020-12-30
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,,,2020-11-30,2020-12-30
경기도,김포시,코코스가든,닭,산란계,1200.0,경기도 김포시 고촌읍 태리 190번지,37.6058394423,126.7456763438,2021-06-30,2020-12-30
경기도,김포시,태원농장,닭,육계,35000.0,경기도 김포시 양촌읍 석모리 131번지 2호,37.6586021398,126.6538667914,2021-06-30,2021-01-09
경기도,김포시,가현농장,닭,산란계,9700.0,경기도 김포시 통진읍 가현리 607번지,,,2020-11-30,2021-01-01
경기도,김포시,깻잎농원,닭,육계,100.0,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,2021-06-30,2021-01-01
경기도,김포시,무량농장,닭,육계,20000.0,경기도 김포시 양촌읍 구래리 295번지 23호,,,2021-06-30,2021-01-01
경기도,김포시,밤농장,닭,육계,150.0,경기도 김포시 양촌읍 구래리 산 118번지,,,2021-04-30,2021-01-01
경기도,김포시,백산농원,닭,육계,10000.0,경기도 김포시 양촌읍 구래리 산 37번지,,,2021-06-30,2021-01-01
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,,,2021-04-30,2021-01-01
경기도,김포시,종훈농장,닭,산란계,10000.0,경기도 김포시 통진읍 옹정리 산 58번지,,,2021-04-30,2021-01-01
경기도,김포시,주일농장,닭,산란계,12000.0,경기도 김포시 양촌읍 학운리 산 20번지,,,2020-07-31,2021-01-01
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,,,2020-11-30,2021-01-01
경기도,김포시,코코스가든,닭,산란계,1200.0,경기도 김포시 고촌읍 태리 190번지,37.6058394423,126.7456763438,2021-06-30,2021-01-01
경기도,김포시,가현농장,닭,산란계,9700.0,경기도 김포시 통진읍 가현리 607번지,,,2020-11-30,2021-01-09
경기도,김포시,깻잎농원,닭,육계,100.0,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,2021-06-30,2021-01-09
경기도,김포시,무량농장,닭,육계,20000.0,경기도 김포시 양촌읍 구래리 295번지 23호,,,2021-06-30,2021-01-09
경기도,김포시,밤농장,닭,육계,150.0,경기도 김포시 양촌읍 구래리 산 118번지,,,2021-04-30,2021-01-09
경기도,김포시,백산농원,닭,육계,10000.0,경기도 김포시 양촌읍 구래리 산 37번지,,,2021-06-30,2021-01-09
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,,,2021-04-30,2021-01-09
경기도,김포시,종훈농장,닭,산란계,10000.0,경기도 김포시 통진읍 옹정리 산 58번지,,,2021-04-30,2021-01-09
경기도,김포시,주일농장,닭,산란계,12000.0,경기도 김포시 양촌읍 학운리 산 20번지,,,2020-07-31,2021-01-09
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,,,2020-11-30,2021-01-09
경기도,김포시,코코스가든,닭,산란계,1200.0,경기도 김포시 고촌읍 태리 190번지,37.6058394423,126.7456763438,2021-06-30,2021-01-09
경기도,김포시,농업회사법인 (주)제일영농,닭,육계,1000.0,경기도 김포시 하성면 석탄리 734번지 7호,37.7204533762,126.6521694527,2025-05-31,2025-09-13
경기도,김포시,담안에 농원,닭,육계,300.0,경기도 김포시 하성면 시암리 140번지 2호,37.766751828,126.6453469576,2025-04-30,2024-12-20
경기도,김포시,미화농장,닭,산란계,12000.0,경기도 김포시 통진읍 가현리 625번지 8호,37.6779556025,126.5858630985,2025-05-31,2024-12-20
경기도,김포시,방씨농장,닭,육계,200.0,경기도 김포시 대곶면 대벽리 803번지,37.6055575133,126.5618186536,2025-05-31,2021-01-09
경기도,김포시,병기농장,닭,육계,30000.0,경기도 김포시 대곶면 석정리 238번지,37.6788760714,126.5568816275,2025-04-30,2024-12-20
경기도,김포시,봉성농장,닭,산란계,30000.0,경기도 김포시 통진읍 동을산리 496번지,37.6932678933,126.6195590551,2025-05-31,2024-12-20
경기도,김포시,석정농장,닭,육계,45000.0,경기도 김포시 대곶면 석정리 237번지,37.679432377,126.5565683967,2025-04-30,2024-12-20
경기도,김포시,써니농장,닭,산란계,22000.0,경기도 김포시 통진읍 가현리 162번지 3호,37.6724170856,126.5882596686,2025-04-30,2024-12-20
경기도,김포시,안골농원,닭,산란계,6000.0,경기도 김포시 월곶면 조강리 107번지 109호,37.7473935506,126.586256668,2025-04-30,2024-12-20
경기도,김포시,용농장,닭,육계,0.0,경기도 김포시 고촌읍 향산리 906번지 1호,37.6214110326,126.7348248313,2025-04-30,2023-01-08
경기도,김포시,우리집토종닭,닭,육계,300.0,경기도 김포시 하성면 석탄리 491번지 32호,37.7252300328,126.6320813425,2025-05-31,2025-09-13
경기도,김포시,일진농장,닭,산란계,2000.0,경기도 김포시 통진읍 가현리 324번지,37.678868833,126.5962436164,2025-04-30,2024-12-20
경기도,김포시,장락농장,닭,산란계,24000.0,경기도 김포시 대곶면 쇄암리 447번지,37.6706239727,126.5498148989,2025-04-30,2024-12-20
경기도,김포시,청솔산업,닭,육계,100.0,경기도 김포시 통진읍 귀전리 1008번지,37.7070618688,126.6104790761,2025-05-31,2024-12-20
경기도,김포시,한우리농장,닭,산란계,140000.0,경기도 김포시 통진읍 가현리 798번지 1호,37.6757060463,126.6010673597,2025-05-31,2024-12-20
경기도,김포시,향산리농장,닭,산란계,520.0,경기도 김포시 고촌읍 향산리 810번지,37.6257487313,126.7357067746,2025-04-30,2023-01-08
경기도,김포시,호은농장,닭,육계,35000.0,경기도 김포시 하성면 마조리 325번지,37.7498006773,126.6284358809,2025-05-31,2025-09-13
경기도,남양주시,고센영농조합법인,닭,육계,20000.0,"경기도 남양주시 와부읍 월문리 83번지 3호 ,83-13",37.6158690873,127.2791873369,2020-07-31,2021-01-12
경기도,남양주시,그린농장,닭,산란계,116000.0,경기도 남양주시 진건읍 진관리 689번지,37.6514699841,127.1593390579,2020-07-31,2021-01-12
경기도,남양주시,내곡농장,닭,육계,20000.0,"경기도 남양주시 진접읍 내곡리 468번지 7호 (,468-11)",37.6756241259,127.1574841572,2021-06-30,2015-04-20
경기도,남양주시,다산농장,닭,산란계,500.0,경기도 남양주시 진건읍 배양리 915번지 1호,37.6328924174,127.1520382823,2020-07-31,2021-01-12
경기도,남양주시,밤골농원,닭,육계,30000.0,경기도 남양주시 수동면 내방리 64번지 1호,37.7384915723,127.2935966976,2021-04-30,2021-01-12
경기도,남양주시,세원농장,닭,산란계,500.0,경기도 남양주시 이패동 562번지 8호,37.6075355572,127.1864497601,2020-11-30,2021-01-12
경기도,남양주시,시골닭집,닭,육계,70.0,경기도 남양주시 별내면 용암리 산 2번지 10호,37.7386860156,127.1265878742,2020-07-31,2015-04-20
경기도,남양주시,유인농장,닭,산란계,19000.0,경기도 남양주시 화도읍 차산리 850번지,37.6245033151,127.2893008529,2020-11-30,2021-01-12
경기도,남양주시,유정농장,닭,육계,50.0,"경기도 남양주시 별내면 광전리 573번지 5호 ,7",37.6767977162,127.136063619,2021-04-30,2015-04-20
경기도,남양주시,육덕농장,닭,육계,1000.0,경기도 남양주시 화도읍 묵현리 산 157번지 4호,37.6709126306,127.307104485,2021-04-30,2021-01-12
경기도,남양주시,태양농원,닭,산란계,12000.0,경기도 남양주시 화도읍 차산리 183번지 13호,37.6312788455,127.3036915474,2021-04-30,2021-01-12
경기도,남양주시,평화농장,닭,육계,,경기도 남양주시 진건읍 배양리 555번지,37.6311924557,127.1700587482,2021-04-30,2021-01-12
경기도,남양주시,현대농장,닭,산란계,9162.0,경기도 남양주시 화도읍 답내리 475번지 5호,37.6596094058,127.3406265394,2021-06-30,2021-01-12
경기도,남양주시,화도농장,닭,육계,45.0,경기도 남양주시 화도읍 차산리 730번지,37.6325864345,127.2924133108,2021-04-30,2021-01-12
경기도,안성시,NES농장,닭,산란계,100000.0,경기도 안성시 일죽면 능국리 7번지 1호,37.1112428218,127.5016995946,2021-06-30,2021-02-23
경기도,안성시,NES농장2,닭,산란계,110000.0,경기도 안성시 일죽면 능국리 4번지 외 1필지(4-2),37.1110957,127.5001055,2021-04-30,2021-02-23
경기도,안성시,가족농장,오리,,3000.0,경기도 안성시 미양면 고지리 574번지 2호,36.9584163,127.2047427,2021-04-30,2021-01-29
경기도,안성시,경기농장,닭,산란계,30000.0,경기도 안성시 원곡면 반제리 430번지 외1필지,37.0158883157,127.1597708929,2021-06-30,2021-01-29
경기도,안성시,경남축산,닭,육계,54000.0,경기도 안성시 원곡면 외가천리 142번지 25호,37.0413265,127.1394754,2020-11-30,2021-01-04
경기도,안성시,경훈농장,닭,산란계,10000.0,경기도 안성시 미양면 고지리 520번지,36.9624672354,127.2100760502,2021-06-30,2021-01-29
경기도,안성시,계림농원,닭,육계,50000.0,경기도 안성시 서운면 현매리 628번지 1호,36.9304724856,127.2128135576,2021-06-30,2021-01-29
경기도,안성시,나루농장,닭,육계,55000.0,경기도 안성시 보개면 적가리 199번지,37.0527134,127.2842037,2020-07-31,2021-01-13
경기도,안성시,남풍농원,닭,육계,500.0,경기도 안성시 보개면 남풍리 944번지 1호,37.0789337075,127.3081433447,2021-06-30,2021-01-28
경기도,안성시,노동 농장,오리,,6000.0,경기도 안성시 일죽면 능국리 678번지 3호,37.1134623,127.4878237,2020-11-30,2021-01-06
경기도,안성시,농업회사법인 선유팜 주식회사,닭,산란계,30000.0,경기도 안성시 일죽면 신흥리 899번지 2호,37.1237916,127.4620764,2020-11-30,2021-01-06
경기도,안성시,대현농장,오리,,10000.0,경기도 안성시 서운면 신촌리 260번지 1호,36.9383407,127.2562697,2020-11-30,2021-01-14
경기도,안성시,대현농장,오리,,10000.0,경기도 안성시 서운면 신촌리 260번지 1호,36.9383407064,127.2562697723,2021-06-30,2021-01-28
경기도,안성시,대화 오리농장DHD,오리,,5500.0,경기도 안성시 일죽면 화곡리 637번지 1호 외1필지,37.106059157,127.4525617725,2021-06-30,2021-02-02
경기도,안성시,도란도란,닭,산란계,80000.0,경기도 안성시 보개면 남풍리 732번지,37.0640146,127.3123435,2020-11-30,2021-01-13
경기도,안성시,동신농장,닭,육계,71400.0,경기도 안성시 보개면 동신리 655번지 외 3필지,36.9999189782,127.2950239002,2021-06-30,2021-01-29
경기도,안성시,동신농장,닭,산란계,40000.0,경기도 안성시 보개면 동신리 655번지,36.9996672,127.2956244,2020-11-30,2021-01-13
경기도,안성시,두교농장,닭,육계,40000.0,경기도 안성시 죽산면 두교리 103번지,37.0153631,127.446827,2021-04-30,2021-01-27
