시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
아산시,서유농원,닭,종계/산란계,18000,충청남도 아산시 둔포면 관대리 65-3,,,2025-05-01,2025-04-05
아산시,성내가든,닭,육계,30,충청남도 아산시 영인면 성내리 459-5,,,2025-05-01,2025-04-05
아산시,성보농원,닭,종계/산란계,80000,충청남도 아산시 둔포면 염작리 292-2,,,2025-05-01,2025-04-05
아산시,성윤농원,닭,종계/산란계,20000,충청남도 아산시 신창면 가내리 380-1,,,2025-05-01,2025-04-05
아산시,수봉농원,닭,종계/산란계,50000,충청남도 아산시 음봉면 동천리 85-1,,,2025-05-01,2025-04-05
아산시,수장농장,닭,육계,30000,충청남도 아산시 신창면 수장리 275-11,,,2025-05-01,2025-04-05
아산시,수정농장,닭,종계/산란계,13000,충청남도 아산시 영인면 창용리 131-2 외 1필지(131-3),,,2025-05-01,2025-04-05
아산시,시우농장,닭,육계,153000,충청남도 아산시 음봉면 신정리 318-2,,,2025-05-01,2025-04-05
아산시,시전농장,닭,육계,38000,충청남도 아산시 도고면 금산리 산 28-1 도고면 금산리 69-2 69-1,,,2025-05-01,2025-04-05
아산시,신명축산,닭,육계,60000,충청남도 아산시 선장면 죽산리 121-3,,,2025-05-01,2025-04-05
아산시,신창농장,닭,종계/산란계,24000,충청남도 아산시 신창면 가내리 978,,,2025-05-01,2025-04-05
아산시,신창농장,닭,종계/산란계,48000,충청남도 아산시 신창면 궁화리 166-20,,,2025-05-01,2025-04-05
아산시,아산농장,닭,종계/산란계,30000,충청남도 아산시 영인면 창용리 105-9,,,2025-05-01,2025-04-05
아산시,아산이레농장,닭,육계,13764,충청남도 아산시 음봉면 쌍룡리 107-1,,,2025-05-01,2025-04-05
아산시,안골농원,닭,육계,60000,충청남도 아산시 영인면 성내리 287-6,,,2025-05-01,2025-04-05
아산시,알로찬농장,닭,육계,14000,충청남도 아산시 신창면 오목리 236-1,,,2025-05-01,2025-04-05
아산시,연호농장,닭,종계/산란계,6500,충청남도 아산시 둔포면 신양리 76-1,,,2025-05-01,2025-04-05
아산시,염치농장,닭,종계/산란계,25000,충청남도 아산시 염치읍 쌍죽리 89,,,2025-05-01,2025-04-05
아산시,영남축산,닭,육계,31000,충청남도 아산시 둔포면 염작리 56-13,,,2025-05-01,2025-04-05
아산시,영월농장,닭,육계,70000,충청남도 아산시 배방읍 북수리 472-4,,,2025-05-01,2025-04-05
아산시,우림농원,닭,종계/산란계,40000,충청남도 아산시 선장면 죽산리 103-5,,,2025-05-01,2025-04-05
아산시,원농장,닭,육계,300000,충청남도 아산시 신창면 남성리 693,,,2025-05-01,2025-04-05
아산시,유아농장,닭,육계,36000,충청남도 아산시 둔포면 산전리 36,,,2025-05-01,2025-04-05
아산시,융진농장,닭,육계,110000,충청남도 아산시 도고면 효자리 143-21외 2필지,,,2025-05-01,2025-04-05
아산시,으뜸목장,닭,종계/산란계,75000,충청남도 아산시 인주면 해암리 11-2,,,2025-05-01,2025-04-05
아산시,음봉양계장,닭,종계/산란계,18000,충청남도 아산시 음봉면 삼거리 183-5,,,2025-05-01,2025-04-05
아산시,인광농장,닭,육계,25000,충청남도 아산시 도고면 신통리 91-1,,,2025-05-01,2025-04-05
아산시,인해농원,닭,종계/산란계,15000,충청남도 아산시 영인면 창용리 39,,,2025-05-01,2025-04-05
아산시,인흥농장,닭,육계,80000,충청남도 아산시 둔포면 운교리 190,,,2025-05-01,2025-04-05
아산시,재연농장,닭,육계,60000,충청남도 아산시 염치읍 중방리 95-10,,,2025-05-01,2025-04-05
아산시,제일농장,닭,육계,36000,충청남도 아산시 음봉면 신정리 11-1,,,2025-05-01,2025-04-05
아산시,진수농장,닭,육계,500,충청남도 아산시 선장면 죽산리 331-1,,,2025-05-01,2025-04-05
아산시,창원농장,닭,육계,25000,충청남도 아산시 둔포면 신양리 218-1,,,2025-05-01,2025-04-05
아산시,창의농장,닭,육계,80000,충청남도 아산시 도고면 시전리 350-1,,,2025-05-01,2025-04-05
아산시,청송농원,닭,육계,40000,충청남도 아산시 배미동 185-1,,,2025-05-01,2025-04-05
아산시,초록농장,닭,종계/산란계,200,충청남도 아산시 선장면 군덕리 459-7,,,2025-05-01,2025-04-05
아산시,초원농원,닭,종계/산란계,67720,충청남도 아산시 음봉면 산정리 223,,,2025-05-01,2025-04-05
아산시,초원충남사료 영농조합법인(아산지소),닭,종계/산란계,15000,충청남도 아산시 둔포면 신양리 255-2,,,2025-05-01,2025-04-05
아산시,칠목농장,닭,육계,45000,충청남도 아산시 신창면 행목리 311-1 외 7필지(98/98-1/101/310/311/311-2/311-9),,,2025-05-01,2025-04-05
아산시,통일청란,닭,종계/산란계,12700,충청남도 아산시 둔포면 산전리 390-8,,,2025-05-01,2025-04-05
아산시,평택농장,닭,육계,23680,충청남도 아산시 둔포면 신양리 305-15,,,2025-05-01,2025-04-05
아산시,푸른초원농원,닭,종계/산란계,21000,충청남도 아산시 음봉면 산정리 222-1,,,2025-05-01,2025-04-05
아산시,한미농장,닭,종계/산란계,42406,충청남도 아산시 음봉면 덕지리 26-4,,,2025-05-01,2025-04-05
