시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,coord_precision
음성군,중원농장,닭,육계,135000.0,충청북도 음성군 금왕읍 오선리 468번지 2호,36.9771376282351,127.555843330057,2021-01-31,exact
음성군,진영농장,닭,종계/산란계,16000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,exact
음성군,진영농장,닭,종계/산란계,17000.0,충청북도 음성군 삼성면 상곡리 7번지 1호,37.0114524779667,127.45613311285,2021-01-31,exact
음성군,짱구2농장,오리,,20000.0,충청북도 음성군 맹동면 봉현리 694번지,36.9352590046952,127.529409774984,2021-01-31,exact
음성군,청해농장,오리,,7000.0,충청북도 음성군 삼성면 용대리 155번지,37.0524006125177,127.527507309438,2021-01-31,exact
음성군,태호농장,오리,,15000.0,충청북도 음성군 맹동면 본성리 401번지 13호 외 2필지,36.92212487295,127.533588377353,2021-01-31,exact
음성군,태호농장 2,오리,,9500.0,충청북도 음성군 맹동면 본성리 402번지 2호 외 1필지,36.9222571041764,127.540989921453,2021-01-31,exact
음성군,한가람농장,닭,육계,30000.0,충청북도 음성군 맹동면 용촌리 604번지,36.9261249928712,127.519246694417,2021-01-31,exact
음성군,한국오리,오리,,12000.0,"충청북도 음성군 원남면 하노리 208번지 외2필지(208-1,213)",36.9179541863558,127.695600569087,2021-01-31,exact
음성군,한마음농장,오리,,16000.0,충청북도 음성군 맹동면 마산리 산 21번지 10호,36.91623920248186,127.56943118395604,2021-01-31,exact
음성군,한삼농장,오리,,20000.0,충청북도 음성군 금왕읍 유포리 548번지,36.9627026701274,127.547739278689,2021-01-31,exact
음성군,한솔제2농장,닭,종계/산란계,250000.0,충청북도 음성군 원남면 하노리 533번지 2호,36.9018950320052,127.686408536398,2021-01-31,exact
음성군,한울,닭,육계,105000.0,충청북도 음성군 대소면 부윤리 238번지 외 5필지,36.9514191398978,127.534623127838,2021-01-31,exact
음성군,해피그린농장,오리,,20000.0,충청북도 음성군 대소면 성본리 596번지 2호 외 3필지,36.959465727291,127.521091901599,2021-01-31,exact
음성군,형제농장,닭,육계,100000.0,충청북도 음성군 소이면 비산리 963번지,36.9415090450149,127.727711408992,2021-01-31,exact
음성군,형제메추리농장,메추리,,70000.0,충청북도 음성군 원남면 덕정리 194번지,36.8896432632662,127.639165958588,2021-01-31,exact
음성군,호영오리,오리,,10000.0,충청북도 음성군 대소면 수태리 153번지,36.9359502084741,127.514694053899,2021-01-31,exact
음성군,개나리농장,닭,육계,60000.0,충청북도 음성군 금왕읍 내송리 301번지,36.9913883008446,127.563160329668,2022-02-07,exact
음성군,건영농장 2,오리,,5000.0,충청북도 음성군 맹동면 마산리 425번지,36.9371637436744,127.54068364815,2022-02-07,exact
음성군,골든팜,닭,육계,70000.0,충청북도 음성군 맹동면 용촌리 775번지,36.9327538425577,127.527074146003,2022-02-07,exact
음성군,기쁨농장,닭,육계,40000.0,충청북도 음성군 금왕읍 봉곡리 141번지 1호,36.9620723228754,127.577324779871,2022-02-07,exact
음성군,남율농장,닭,육계,50000.0,충청북도 음성군 소이면 문등리 196번지 외 2필지,36.9078530716869,127.787206465525,2022-02-07,exact
음성군,농업회사법인 (주) 조하 삼성지점,닭,종계/산란계,255381.0,충청북도 음성군 삼성면 능산리 360번지 1호,37.0362467833446,127.532185338097,2022-02-07,exact
음성군,농업회사법인 주식회사 에버그린(금왕지점),메추리,,1084800.0,충청북도 음성군 금왕읍 신평리 307번지 외 12필지,36.9918237885871,127.544248517365,2022-02-07,exact
음성군,농업회사법인(주)동일농장 삼성지점,닭,종계/산란계,15000.0,충청북도 음성군 삼성면 대정리 562번지,37.0318626497543,127.517000020669,2022-02-07,exact
음성군,농업회사법인(주)동일농장 생극지점,닭,종계/산란계,30200.0,충청북도 음성군 생극면 팔성리 520번지 1호,37.043637506303,127.583872485458,2022-02-07,exact
음성군,농업회사법인주식회사알부자,닭,종계/산란계,32000.0,충청북도 음성군 원남면 하노리 208번지 외2필지,36.9179541863558,127.695600569087,2022-02-07,exact
음성군,대성농장,닭,육계,50000.0,충청북도 음성군 금왕읍 본대리 29번지,36.9845088550495,127.526186235014,2022-02-07,exact
음성군,대성농장 2농장,닭,육계,70000.0,충청북도 음성군 맹동면 마산리 290번지,36.939229080629,127.551255402468,2022-02-07,exact
음성군,대진양계장,닭,육계,45000.0,충청북도 음성군 원남면 문암리 502번지,36.8477575566204,127.628222137602,2022-02-07,exact
음성군,덕동오리농장,오리,,6500.0,충청북도 음성군 금왕읍 각회리 537번지,37.0034693205169,127.57006762785,2022-02-07,exact
