시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
정읍시,㈜다농,닭,산란중추,24000.0,전라북도 정읍시 고부면,35.6185618287645,126.771689579295,2022-01-01,2022-01-07,exact
정읍시,㈜온누리,닭,토종닭,38000.0,전라북도 정읍시 영원면 영원로 1290,35.6729185632886,126.783088346973,2022-01-01,2022-01-07,approx_address
정읍시,가금농장,닭,토종닭,45000.0,전라북도 정읍시 소성면 애당리 434-6,35.5365973562994,126.774038096991,2022-01-01,2022-01-07,approx_address
정읍시,경승농장,닭,육계,16000.0,전라북도 정읍시 입암면 등천리 892,35.4934987077043,126.795732963777,2022-01-01,2022-01-07,approx_address
정읍시,구구농장,닭,육계,50000.0,전라북도 정읍시 북면 복흥리 874,35.5840299479285,126.89443593421,2022-01-01,2022-01-07,approx_address
정읍시,금계농장,닭,육계,140000.0,전라북도 정읍시 덕천면 금계1길 127,35.6450831465837,126.835376070253,2022-01-01,2022-01-07,approx_address
정읍시,금호2농장,오리,육용오리,24000.0,전라북도 정읍시 영원면 앵성2길 106-16,35.6551214410607,126.785327526867,2022-01-01,2022-01-07,exact
정읍시,금호농장,오리,육용오리,23000.0,전라북도 정읍시 영원면 앵성2길 106-16,35.6551214410607,126.785327526867,2022-01-01,2022-01-07,exact
정읍시,기봉농장,오리,육용오리,20000.0,전라북도 정읍시 이평면 장내리 884,35.6750370194245,126.814006488254,2022-01-01,2022-01-07,exact
정읍시,내석농장,오리,육용오리,8000.0,전라북도 정읍시 신태인읍 백산리 1359,35.6852686585351,126.910188172702,2022-01-01,2022-01-07,approx_address
정읍시,농업법인 풍성한유한회사,닭,종계,50000.0,전라북도 정읍시 북면 태곡리 998-2,35.5957562550534,126.91369706381,2022-01-01,2022-01-07,approx_address
정읍시,다원농장,닭,토종닭,80000.0,전라북도 정읍시 이평면 장내리 616-4,35.6750370194245,126.814006488254,2022-01-01,2022-01-07,exact
정읍시,대성농장,닭,육계,65000.0,전라북도 정읍시 덕천면 상학리 산13-1,35.6130001420988,126.821070669138,2022-01-01,2022-01-07,approx_address
정읍시,대원농장,닭,토종닭,40000.0,전라북도 정읍시 소성면 등계리 170-2,35.5687111742163,126.79957534571,2022-01-01,2022-01-07,approx_address
정읍시,대원농장,닭,육계,45000.0,전라북도 정읍시 소성면 등계리 170-2,35.5687111742163,126.79957534571,2022-01-01,2022-01-07,approx_address
정읍시,대원농장,닭,토종닭,22000.0,전라북도 정읍시 소성면 등계리 170-2,35.5687111742163,126.79957534571,2022-01-01,2022-01-07,approx_address
정읍시,대행영농,닭,종계,46000.0,전라북도 정읍시 태인면,35.6505963689284,126.932535141466,2022-01-01,2022-01-07,exact
정읍시,덕앤덕농장,오리,종오리,3000.0,전라북도 전라부도 정읍시 소성면 애당리 177-2,35.5197884078775,126.775039824236,2022-01-01,2022-01-07,approx_address
정읍시,도원축산,닭,육계,200000.0,전라북도 정읍시 영원면 청량길 39-45,35.6720476605588,126.784899823436,2022-01-01,2022-01-07,approx_address
정읍시,동원농장,닭,육계,25000.0,전라북도 정읍시 이평면 장내리 56-1,35.6750370194245,126.814006488254,2022-01-01,2022-01-07,exact
정읍시,동화농장,닭,육계,90000.0,전라북도 정읍시 태인,35.6505963689284,126.932535141466,2022-01-01,2022-01-07,exact
정읍시,마동농장,닭,육계,80000.0,전라북도 정읍시 소성면 등계리 49,35.5705101175408,126.796963260007,2022-01-01,2022-01-07,approx_address
정읍시,마정농장,닭,육계,100000.0,전라북도 정읍시 북면 마정리 1951,35.6050209067826,126.938161031294,2022-01-01,2022-01-07,approx_address
정읍시,만수양계장,닭,육계,57000.0,전라북도 정읍시 고부면 만수리 60-3,35.5890096576706,126.801349343314,2022-01-01,2022-01-07,approx_address
정읍시,매봉농장,닭,육계,75000.0,전라북도 정읍시 이평면 창동리 705-12,35.6636554978589,126.798787346046,2022-01-01,2022-01-07,approx_address
정읍시,모리아농장,닭,육계,68000.0,전라북도 정읍시 정우면 회룡리 423-2,35.6502253081406,126.898165713123,2022-01-01,2022-01-07,approx_address
정읍시,무염농장,닭,육계,74000.0,전라북도 정읍시 정우면 초강리 1146-3,35.6304661169575,126.866596710135,2022-01-01,2022-01-07,approx_address
정읍시,미소농장,닭,육계,223000.0,전라북도 정읍시 이평면 청량리 905,35.6759031609713,126.796728691221,2022-01-01,2022-01-07,exact
정읍시,민정농장2,닭,토종닭,65000.0,전라북도 정읍시 태인면,35.6505963689284,126.932535141466,2022-01-01,2022-01-07,exact
정읍시,바둑이농장,닭,육계,87000.0,전라북도 정읍시 정우면 장순리 219-12,35.6319444163409,126.891364943596,2022-01-01,2022-01-07,approx_address
