시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜
김포시,가현농장,닭,산란계,9700.0,경기도 김포시 통진읍 가현리 607번지,,,2020-11-30,2020-12-13
김포시,가현농장,닭,산란계,8000.0,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,2020-11-30,2020-12-13
김포시,갈산농장,닭,육계,260.0,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,2021-04-30,2021-01-09
김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6509045,126.5766937,2020-06-30,2020-12-13
김포시,대곶농장,닭,육계,300.0,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,2020-07-31,2020-12-13
김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534223,126.559194,2020-06-30,2020-12-13
김포시,대명농장,닭,육계,20000.0,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,2020-07-31,2020-12-13
김포시,도수농장,닭,산란계,20000.0,경기도 김포시 통진읍 마송리 399번지 3호,37.684421941,126.5893489103,2020-11-30,2020-12-13
김포시,말무리농장,닭,산란계,5000.0,경기도 김포시 통진읍 귀전리 84번지,37.7326313145,126.6068254671,2021-04-30,2021-01-09
김포시,밤농장,닭,육계,150.0,경기도 김포시 양촌읍 구래리 산 118번지,,,2021-04-30,2020-12-13
김포시,봉림농장,닭,산란계,40000.0,경기도 김포시 통진읍 가현리 810번지,37.6674447459,126.5828213367,2021-04-30,2021-01-09
김포시,수현농장,닭,육계,25000.0,경기도 김포시 월곶면 포내리 251번지 6호,37.724247969,126.5291529365,2021-04-30,2021-01-09
김포시,연주농장,닭,육계,2500.0,경기도 김포시 양촌읍 학운리 815번지 1호,37.6232433961,126.6014502273,2020-11-30,2020-12-13
김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,,,2021-04-30,2020-12-13
김포시,옥화농장,닭,산란계,20.0,경기도 김포시 하성면 마조리 209번지 17호,37.7510897284,126.6357194931,2020-07-31,2020-12-13
