시도명,시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜
경기도,김포시,봉림농장,닭,산란계,40000.0,경기도 김포시 통진읍 가현리 810번지,37.6674447459,126.5828213367,2021-04-30
경기도,김포시,봉성농장,닭,산란계,30000.0,경기도 김포시 통진읍 동을산리 496번지,37.6932738,126.6195606,2019-12-31
경기도,김포시,부부농장,닭,육계,40000.0,경기도 김포시 양촌읍 석모리 690번지 1호,37.6587196,126.6412232,2020-01-31
경기도,김포시,부부농장,닭,육계,35000.0,경기도 김포시 양촌읍 양곡리 183-4번지,37.6663638,126.6298516,2020-05-31
경기도,김포시,부부농장,닭,육계,35000.0,경기도 김포시 양촌읍 양곡리 183번지 4호,37.6663774628,126.6299112616,2021-09-30
경기도,김포시,산골농장,닭,산란계,15000.0,경기도 김포시 통진읍 가현리 산 50번지 3호,37.6784346127,126.584353053,2021-07-31
경기도,김포시,산천농장,닭,육계,440.0,경기도 김포시 대곶면 신안리 247번지 2호,37.6505562,126.5400531,2020-05-31
경기도,김포시,상권 농장,닭,산란계,147.0,경기도 김포시 통진읍 귀전리 103-1번지,37.7333715,126.6022767,2020-01-31
경기도,김포시,상림,닭,산란계,9000.0,경기도 김포시 통진읍 가현리 809번지 1호,37.668575,126.5835995,2020-05-31
경기도,김포시,성호농장,닭,산란계,21.0,경기도 김포시 하성면 하사리 202번지,37.697985,126.6365274,2019-12-31
경기도,김포시,성호농장,닭,산란계,21.0,경기도 김포시 하성면 하사리 202번지,37.6980362926,126.6366875789,2021-11-30
경기도,김포시,세명농장,닭,산란계,40000.0,경기도 김포시 양촌읍 학운리 253번지,,,2021-11-30
경기도,김포시,쇄암축산,메추리,산란계,70000.0,경기도 김포시 대곶면 쇄암리 56-1번지,37.6825869,126.5422829,2020-05-31
경기도,김포시,수현농장,닭,육계,25000.0,경기도 김포시 월곶면 포내리 251번지 6호,37.724247969,126.5291529365,2021-04-30
경기도,김포시,순이농장,닭,산란계,150.0,경기도 김포시 양촌읍 구래리 12-2번지,37.6547049,126.6144153,2020-05-31
경기도,김포시,시암청정농원,닭,육계,400.0,경기도 김포시 하성면 시암리 396번지,37.7614721242,126.6339432192,2021-07-31
경기도,김포시,신미농장,닭,육계,30000.0,경기도 김포시 양촌읍 석모리 142번지,37.6562586,126.6513315,2020-05-31
경기도,김포시,안골농원,닭,산란계,6000.0,경기도 김포시 월곶면 조강리 107번지 109호,37.7474354,126.5863541,2019-12-31
경기도,김포시,약산농장,닭,산란계,10000.0,경기도 김포시 대곶면 약암리 47번지 1호,,,2021-07-31
경기도,김포시,약산농장,닭,육계,20000.0,경기도 김포시 대곶면 약암리 262번지 1호,37.6356191632,126.5689889809,2021-07-31
경기도,김포시,약산농장,닭,산란계,12000.0,경기도 김포시 대곶면 약암리 산 47번지 1호,37.6344641782,126.5699667364,2021-06-30
경기도,김포시,약산동해농장,닭,산란계,12000.0,경기도 김포시 대곶면 약암리 산 47번지 1호,37.6344641782,126.5699667364,2021-07-31
경기도,김포시,연주농장,닭,육계,2500.0,경기도 김포시 양촌읍 학운리 815번지 1호,37.6232433961,126.6014502273,2020-11-30
경기도,김포시,영창농장,닭,육계,20000.0,경기도 김포시 대곶면 대벽리 185번지,37.6341724,126.578882,2020-05-31
경기도,김포시,영창농장,닭,육계,20000.0,경기도 김포시 대곶면 대벽리 185번지,37.634125647,126.578812267,2021-07-31
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,37.6379168,126.6343052,2020-04-30
경기도,김포시,영철농장,닭,육계,25000.0,경기도 김포시 양촌읍 구래리 652번지 1호,,,2021-04-30
경기도,김포시,옥화농장,닭,산란계,20.0,경기도 김포시 하성면 마조리 209번지 17호,37.7510897284,126.6357194931,2020-07-31
경기도,김포시,우정농장,닭,산란계,18000.0,경기도 김포시 대곶면 석정리 산 44번지,37.6702696,126.559832,2019-12-31
경기도,김포시,우정농장,닭,산란계,18000.0,경기도 김포시 대곶면 석정리 산 44번지,37.6701211714,126.5597582902,2020-11-30
경기도,김포시,운호농장,닭,육계,80000.0,경기도 김포시 양촌읍 누산리 1089번지 75호,37.6713104,126.6612724,2019-12-31
경기도,김포시,유성농장,닭,산란계,32000.0,경기도 김포시 대곶면 석정리 46번지 2호,37.6757943978,126.574043648,2020-11-30
경기도,김포시,은상농장,닭,산란계,70000.0,경기도 김포시 대곶면 거물대리 77번지,37.6705973825,126.6036689221,2020-07-31
경기도,김포시,은상농장,닭,산란계,120000.0,경기도 김포시 대곶면 거물대리 77번지,37.670598,126.6036693,2020-04-30
경기도,김포시,은혜농장,닭,산란계,9000.0,경기도 김포시 통진읍 가현리 산 50번지 3호,37.6784346127,126.584353053,2021-11-30
경기도,김포시,이범주농장,닭,육계,15000.0,경기도 김포시 양촌읍 학운리 876번지,37.6220450978,126.6050681001,2021-09-30
경기도,김포시,이범주농장,닭,육계,15000.0,경기도 김포시 양촌읍 학운리 876번지,37.6220417,126.6050643,2020-04-30
경기도,김포시,이원행 농장,닭,육계,28000.0,경기도 김포시 양촌읍 학운리 399번지,37.6259933084,126.6030093086,2021-09-30
경기도,김포시,이원행 농장,닭,육계,28000.0,경기도 김포시 양촌읍 학운리 399번지,37.6260812,126.6030291,2020-05-31
경기도,김포시,인천농장,닭,육계,7000.0,경기도 김포시 월곶면 조강리 79번지,37.7490611953,126.5865082889,2021-09-30
경기도,김포시,인천농장,닭,육계,7000.0,경기도 김포시 월곶면 조강리 79번지,37.7492197,126.5863882,2020-06-30
경기도,김포시,인하 농장,닭,산란계,14000.0,경기도 김포시 통진읍 가현리 620번지,37.6774387865,126.5861116536,2021-07-31
경기도,김포시,장락농장,닭,산란계,50000.0,경기도 김포시 대곶면 쇄암리 445-4번지,37.6708688,126.5499024,2020-06-30
경기도,김포시,정윤농장,닭,육계,24000.0,경기도 김포시 양촌읍 누산리 1036-158번지,37.6718739,126.653781,2020-05-31
경기도,김포시,젖가락이 행복한 농장,닭,산란계,100.0,경기도 김포시 대곶면 대벽리 174번지 1호,37.6354276917,126.579044281,2021-06-30
경기도,김포시,종훈농장,닭,산란계,10000.0,경기도 김포시 통진읍 옹정리 산 58번지,,,2021-04-30
경기도,김포시,주일농장,닭,산란계,12000.0,경기도 김포시 양촌읍 학운리 산 20번지,,,2020-07-31
경기도,김포시,준희농장,닭,산란계,14500.0,경기도 김포시 통진읍 가현리 622-3번지,37.6778414,126.5869603,2020-05-31
경기도,김포시,진영농장,닭,산란계,0.0,경기도 김포시 고촌읍 향산리 341번지,37.6233666,126.7482354,2020-05-31
경기도,김포시,천풍농장,닭,산란계,12000.0,경기도 김포시 대곶면 대벽리 1039번지,37.6176925548,126.5679208467,2021-04-30
경기도,김포시,청솔산업,닭,육계,100.0,경기도 김포시 통진읍 귀전리 1008번지,37.7070605,126.6104822,2020-06-30
경기도,김포시,청암농장,메추리,산란계,120000.0,경기도 김포시 대곶면 약암리 267번지,37.6368162,126.5687595,2020-05-31
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,37.6632084,126.5711662,2020-06-30
경기도,김포시,초롱농장,닭,산란계,3000.0,경기도 김포시 대곶면 송마리 178번지,,,2020-11-30
경기도,김포시,코코스가든,닭,산란계,1200.0,경기도 김포시 고촌읍 태리 190번지,37.6058394423,126.7456763438,2021-06-30
경기도,김포시,태경농장,닭,산란계,40000.0,경기도 김포시 월곶면 군하리 323-30번지,37.7058907,126.5521466,2020-05-31
경기도,김포시,태경농장,닭,산란계,40000.0,경기도 김포시 월곶면 군하리 323번지 30호,37.7058863162,126.5521491939,2020-07-31
경기도,김포시,태원농장,닭,육계,35000.0,경기도 김포시 양촌읍 석모리 131번지 2호,37.6586021398,126.6538667914,2021-06-30
경기도,김포시,포내농장,닭,산란계,20000.0,경기도 김포시 월곶면 포내리 106-12번지,37.7294578,126.5416943,2019-12-31
경기도,김포시,포내농장,닭,산란계,63000.0,경기도 김포시 월곶면 포내리 106번지 10호,37.7285294092,126.5424079582,2021-09-30
경기도,김포시,포내농장,닭,산란계,20000.0,경기도 김포시 월곶면 포내리 14번지 5호,,,2021-09-30
경기도,김포시,풍진농장,닭,산란계,15000.0,경기도 김포시 대곶면 약암리 808번지,37.6217415118,126.5603174525,2021-04-30
경기도,김포시,하나농장,닭,육계,38000.0,경기도 김포시 대곶면 대명리 208번지,37.653290478,126.5477331705,2020-07-31
경기도,김포시,하늘농장,닭,산란계,2500.0,경기도 김포시 하성면 양택리 104번지,37.7355028154,126.617107103,2020-07-31
경기도,김포시,하림농장,닭,산란계,40.0,경기도 김포시 대곶면 대벽리 1164번지,37.6123970804,126.5582430599,2021-07-31
경기도,김포시,하성농장,닭,산란계,15000.0,경기도 김포시 하성면 봉성리 65번지 3호,37.6921844112,126.6375947615,2021-04-30
경기도,김포시,학운농장,닭,육계,25000.0,경기도 김포시 양촌읍 학운리 399번지,37.6259933084,126.6030093086,2020-07-31
경기도,김포시,학운농장,닭,육계,25000.0,경기도 김포시 양촌읍 학운리 399번지,37.6260812,126.6030291,2019-12-31
경기도,김포시,향산리농장,닭,산란계,520.0,경기도 김포시 고촌읍 향산리 810번지,37.6257469,126.7357004,2020-01-31
경기도,김포시,호은농장,닭,육계,35000.0,경기도 김포시 하성면 마조리 325번지,37.7498061,126.6284293,2020-06-30
경기도,김포시,효운농장,닭,육계,35000.0,경기도 김포시 양촌읍 유현리 444번지 1호,37.6347379652,126.6153904973,2021-11-30
경기도,김포시,효운농장,닭,육계,35000.0,경기도 김포시 양촌읍 유현리 444번지 1호,37.6347788,126.6155215,2020-06-30
경기도,김포시,희망농장,닭,육계,20000.0,경기도 김포시 마산동 422번지,37.634436423,126.6454481124,2021-07-31
경기도,김포시,가우농장,닭,산란계,16000.0,경기도 김포시 통진읍 가현리 633번지,37.6775322074,126.5853734062,2025-08-31
경기도,김포시,공주양계장,닭,육계,12000.0,경기도 김포시 양촌읍 유현리 441번지,37.634216157,126.6156197877,2025-08-31
경기도,김포시,규은농장,닭,산란계,14.0,경기도 김포시 고촌읍 신곡리 439번지 43호,37.6087058951,126.7729972627,2025-07-31
경기도,김포시,기원농장,닭,육계,24000.0,경기도 김포시 통진읍 옹정리 294번지 3호,37.6846208467,126.5766784703,2025-07-31
경기도,김포시,기철농장,닭,육계,19000.0,경기도 김포시 양촌읍 양곡리 821번지,37.6555979844,126.6330624888,2025-08-31
경기도,김포시,농업회사법인 (주)제일영농,닭,육계,1000.0,경기도 김포시 하성면 석탄리 734번지 7호,37.7204533762,126.6521694527,2025-05-31
경기도,김포시,담안에 농원,닭,육계,300.0,경기도 김포시 하성면 시암리 140번지 2호,37.766751828,126.6453469576,2025-04-30
경기도,김포시,대성농장,닭,육계,20000.0,경기도 김포시 양촌읍 학운리 1032번지,37.6090818417,126.6002798829,2025-08-31
경기도,김포시,대포농장,닭,육계,30000.0,경기도 김포시 양촌읍 대포리 261번지 18호,,,2025-07-31
경기도,김포시,도현 농장,닭,산란계,0.0,경기도 김포시 통진읍 가현리 798번지,37.6758593416,126.6010768499,2025-08-31
경기도,김포시,두레농장,닭,육계,1300.0,경기도 김포시 대곶면 대능리 700번지,37.6259596913,126.6007035995,2025-08-31
경기도,김포시,문수골농원,닭,육계,35.0,경기도 김포시 월곶면 성동리 212번지 7호,37.7402794493,126.5343697164,2025-08-31
경기도,김포시,미혜농장,닭,산란계,1000.0,경기도 김포시 대곶면 대능리 622번지 23호,37.6212458738,126.5927044521,2025-07-31
경기도,김포시,미화농장,닭,산란계,12000.0,경기도 김포시 통진읍 가현리 625번지 8호,37.6779556025,126.5858630985,2025-05-31
경기도,김포시,방씨농장,닭,육계,200.0,경기도 김포시 대곶면 대벽리 803번지,37.6055575133,126.5618186536,2025-05-31
경기도,김포시,병기농장,닭,육계,30000.0,경기도 김포시 대곶면 석정리 238번지,37.6788760714,126.5568816275,2025-04-30
경기도,김포시,봉골농장,닭,산란계,83000.0,"경기도 김포시 월곶면 군하리 323번지 2호 ,323-70번지",37.707520252,126.5535918318,2025-07-31
경기도,김포시,봉성농장,닭,산란계,30000.0,경기도 김포시 통진읍 동을산리 496번지,37.6932678933,126.6195590551,2025-05-31
경기도,김포시,서울양계장,닭,육계,0.0,경기도 김포시 대곶면 쇄암리 391번지,37.6754348221,126.5447803995,2025-07-31
경기도,김포시,석정농장,닭,육계,45000.0,경기도 김포시 대곶면 석정리 237번지,37.679432377,126.5565683967,2025-04-30
경기도,김포시,써니농장,닭,산란계,22000.0,경기도 김포시 통진읍 가현리 162번지 3호,37.6724170856,126.5882596686,2025-04-30
경기도,김포시,안골농원,닭,산란계,6000.0,경기도 김포시 월곶면 조강리 107번지 109호,37.7473935506,126.586256668,2025-04-30
경기도,김포시,영경농장,닭,산란계,4.0,경기도 김포시 고촌읍 신곡리 183번지 3호,37.6032779975,126.7846605955,2025-07-31
경기도,김포시,용농장,닭,육계,0.0,경기도 김포시 고촌읍 향산리 906번지 1호,37.6214110326,126.7348248313,2025-04-30
경기도,김포시,우리집토종닭,닭,육계,300.0,경기도 김포시 하성면 석탄리 491번지 32호,37.7252300328,126.6320813425,2025-05-31
경기도,김포시,운호농장,닭,육계,80000.0,경기도 김포시 양촌읍 누산리 1089번지 75호,37.6712065036,126.661219717,2025-08-31
경기도,김포시,원기농장,닭,산란계,25000.0,경기도 김포시 대곶면 약암리 930번지,,,2025-08-31
경기도,김포시,일진농장,닭,산란계,2000.0,경기도 김포시 통진읍 가현리 324번지,37.678868833,126.5962436164,2025-04-30
경기도,김포시,장락농장,닭,산란계,24000.0,경기도 김포시 대곶면 쇄암리 447번지,37.6706239727,126.5498148989,2025-04-30
경기도,김포시,정윤농장,닭,육계,24000.0,경기도 김포시 양촌읍 누산리 1036번지 158호,37.6718779346,126.6537841005,2025-08-31
경기도,김포시,좋아좋아 토종닭 농장,닭,육계,300.0,경기도 김포시 하성면 시암리 218번지,37.7706970657,126.6365873022,2025-08-31
경기도,김포시,준희농장,닭,산란계,14500.0,경기도 김포시 통진읍 가현리 622번지 3호,37.6778419125,126.5869572137,2025-08-31
경기도,김포시,청솔산업,닭,육계,100.0,경기도 김포시 통진읍 귀전리 1008번지,37.7070618688,126.6104790761,2025-05-31
경기도,김포시,푸른농장,닭,산란계,12000.0,경기도 김포시 통진읍 가현리,,,2025-08-31
경기도,김포시,한우리농장,닭,산란계,140000.0,경기도 김포시 통진읍 가현리 798번지 1호,37.6757060463,126.6010673597,2025-05-31
경기도,김포시,향산리농장,닭,산란계,520.0,경기도 김포시 고촌읍 향산리 810번지,37.6257487313,126.7357067746,2025-04-30
경기도,김포시,호은농장,닭,육계,35000.0,경기도 김포시 하성면 마조리 325번지,37.7498006773,126.6284358809,2025-05-31
경기도,남양주시,가족농장,닭,육계,200.0,경기도 남양주시 와부읍 율석리 832번지 4호,37.6033708373,127.2095866254,2020-05-31
경기도,남양주시,거북농장,닭,육계,2200.0,경기도 남양주시 삼패동 산 12번지,37.5983934455,127.2118602348,2020-01-31
경기도,남양주시,경인농장,닭,산란계,150.0,경기도 남양주시 평내동 산 2번지 19호,37.6503874934,127.2174789638,2020-04-30
경기도,남양주시,경춘목장,닭,산란계,500.0,"경기도 남양주시 조안면 삼봉리 680번지 ,690",37.590760187,127.32490524,2020-05-31
경기도,남양주시,경춘목장,닭,산란계,500.0,"경기도 남양주시 조안면 삼봉리 680번지 ,690",37.5909584981,127.3248356332,2021-11-30
경기도,남양주시,고센영농조합법인,닭,육계,20000.0,"경기도 남양주시 와부읍 월문리 83번지 3호 ,83-13",37.6159492826,127.2796342657,2021-11-30
경기도,남양주시,고센영농조합법인,닭,육계,20000.0,"경기도 남양주시 와부읍 월문리 83번지 3호 ,83-13",37.6158690873,127.2791873369,2020-07-31
경기도,남양주시,그린농장,닭,산란계,116000.0,경기도 남양주시 진건읍 진관리 689번지,37.6514699841,127.1593390579,2020-07-31
경기도,남양주시,그린농장,닭,산란계,116000.0,경기도 남양주시 진건읍 진관리 689번지,37.6515731303,127.1594538201,2021-09-30
경기도,남양주시,근영농장,닭,육계,530.0,경기도 남양주시 진접읍 내각리 33번지 1호,37.7059610055,127.1780851514,2020-06-30
경기도,남양주시,내곡농장,닭,육계,20000.0,"경기도 남양주시 진접읍 내곡리 468번지 7호 (,468-11)",37.6756241259,127.1574841572,2021-06-30
경기도,남양주시,내곡농장,닭,육계,20000.0,"경기도 남양주시 진접읍 내곡리 468번지 7호 (,468-11)",37.6757172465,127.1576443004,2020-05-31
경기도,남양주시,다산농장,닭,산란계,500.0,경기도 남양주시 진건읍 배양리 915번지 1호,37.6328924174,127.1520382823,2020-07-31
경기도,남양주시,다산농장,닭,산란계,500.0,경기도 남양주시 진건읍 배양리 915번지 1호,37.6328937331,127.1520362693,2021-09-30
경기도,남양주시,밤골농원,닭,육계,30000.0,경기도 남양주시 수동면 내방리 64번지 1호,37.7384915723,127.2935966976,2021-04-30
경기도,남양주시,밤골농원,닭,육계,30000.0,경기도 남양주시 수동면 내방리 64번지 1호,37.7382222338,127.2931529125,2021-11-30
경기도,남양주시,부일농장,닭,육계,100.0,경기도 남양주시 진건읍 배양리 471번지,37.638278726,127.1667550171,2020-04-30
경기도,남양주시,부일농장,닭,육계,100.0,경기도 남양주시 진건읍 배양리 471번지,37.6382992776,127.1667797497,2021-09-30
경기도,남양주시,산과들 테마농원,닭,산란계,,경기도 남양주시 화도읍 차산리 산 67번지 31호,37.6325079996,127.298609866,2020-01-31
경기도,남양주시,산과들 테마농원,닭,산란계,,경기도 남양주시 화도읍 차산리 산 67번지 31호,37.6333101888,127.3004482547,2021-11-30
경기도,남양주시,세원농장,닭,산란계,500.0,경기도 남양주시 이패동 562번지 8호,37.6075355572,127.1864497601,2020-11-30
경기도,남양주시,세원농장,닭,산란계,500.0,경기도 남양주시 이패동 562번지 8호,37.6076896351,127.1865167892,2021-11-30
경기도,남양주시,세종농장,닭,산란계,14000.0,"경기도 남양주시 화도읍 차산리 552번지 3호 ,537-4,553",37.6177807647,127.304294105,2020-06-30
경기도,남양주시,시골닭집,닭,육계,70.0,경기도 남양주시 별내면 용암리 산 2번지 10호,37.7386860156,127.1265878742,2020-07-31
경기도,남양주시,싸리농장,닭,육계,270.0,경기도 남양주시 와부읍 월문리 256번지,37.6117847481,127.2646640401,2020-05-31
경기도,남양주시,싸리농장,닭,육계,270.0,경기도 남양주시 와부읍 월문리 256번지,37.6117742102,127.2646791601,2021-11-30
경기도,남양주시,씨앤비협동조합 남양주 실습장,닭,육계,100.0,경기도 남양주시 퇴계원읍 퇴계원리 산 4번지 3호,37.6632832158,127.1417694776,2021-09-30
경기도,남양주시,씨앤비협동조합 남양주 실습장,닭,육계,100.0,경기도 남양주시 퇴계원읍 퇴계원리 산 4번지 3호,37.6634748472,127.1417745889,2020-04-30
경기도,남양주시,유인농장,닭,산란계,19000.0,경기도 남양주시 화도읍 차산리 850번지,37.6245033151,127.2893008529,2020-11-30
경기도,남양주시,유인농장,닭,산란계,19000.0,경기도 남양주시 화도읍 차산리 850번지,37.6247017497,127.2897282096,2021-11-30
경기도,남양주시,유정농장,닭,육계,50.0,"경기도 남양주시 별내면 광전리 573번지 5호 ,7",37.6767977162,127.136063619,2021-04-30
경기도,남양주시,육덕농장,닭,육계,1000.0,경기도 남양주시 화도읍 묵현리 산 157번지 4호,37.6709126306,127.307104485,2021-04-30
경기도,남양주시,지둔농장,닭,육계,15000.0,경기도 남양주시 수동면 지둔리 315번지,37.718041535,127.2984057523,2021-07-31
