시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,조사날짜,감염날짜,coord_precision
아산시,현대농장,닭,육계,30000,충청남도 아산시 음봉면 신정리 11-1,36.8726258234393,127.01953343887,2025-05-01,2025-04-20,exact
아산시,현민농장,닭,육계,55000,충청남도 아산시 신창면 가덕리 44-1,36.8152482870734,126.931581816948,2025-05-01,2025-04-05,approx_address
아산시,협진농장,닭,육계,40000,충청남도 아산시 음봉면 원남리 180-3,36.8703019992331,127.036000732719,2025-05-01,2025-04-05,approx_address
아산시,호반 토종닭,닭,육계,50,충청남도 아산시 염치읍 동정리 33,36.8236891854465,127.006817216157,2025-05-01,2025-04-05,approx_address
아산시,희망농장,닭,종계/산란계,30000,충청남도 아산시 둔포면 산전리 364-1,36.896026828377,127.046054689348,2025-05-01,2025-04-05,approx_address
아산시,거해농장,닭,육계,75000,충청남도 아산시 신창면 가덕리 1015,36.8193990112243,126.919274174855,2025-05-01,2025-04-20,approx_address
아산시,고령농장,닭,육계,14338,충청남도 아산시 영인면 신봉리 95-12,36.8849355601517,126.998936234879,2025-05-01,2025-04-20,approx_address
아산시,곡부농장,닭,종계/산란계,8000,충청남도 아산시 둔포면 신양리 217,36.8870108477851,127.053258010449,2025-05-01,2025-04-20,approx_address
아산시,근해농장,닭,종계/산란계,9500,충청남도 아산시 음봉면 원남리 313-1,36.8590422744148,127.026355494473,2025-05-01,2025-04-20,approx_address
아산시,금강농장,닭,종계/산란계,21400,충청남도 아산시 음봉면 원남리 15-5,36.8550884332482,127.035601469805,2025-05-01,2025-04-20,approx_address
아산시,금미농장,닭,육계,14903,충청남도 아산시 둔포면 산전리 244-1 외 1필지(244-5),36.8980343814244,127.045123441564,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,금산농장,닭,종계/산란계,34000,충청남도 아산시 영인면 신운리 128,36.8636167896501,126.961632110442,2025-05-01,2025-04-20,approx_address
아산시,기림농장,닭,육계,50000,충청남도 아산시 배방읍 북수리 528-2,36.780770516997,127.070151454953,2025-05-01,2025-04-20,approx_address
아산시,남성농장,닭,육계,14715,충청남도 아산시 신창면 남성리 561-1 외 1필지(562),36.7912799262353,126.94724931224,2025-05-01,2025-04-20,approx_address_single_parcel
아산시,농업회사법인 다온앤팜,닭,종계/산란계,35000,충청남도 아산시 음봉면 쌍암리 147-7,36.8789114976599,127.085001305414,2025-05-01,2025-04-20,approx_address
아산시,농업회사법인 에이치비(주)예산농장,메추리,,320000,충청남도 아산시 도고면 효자리 13-1,36.7384695766906,126.87372869349,2025-05-01,2025-04-20,approx_address
아산시,농업회사법인 주식회사 뉴코리아,닭,육계,23000,충청남도 아산시 도고면 화천리 143-21,36.7114528945888,126.915318828893,2025-05-01,2025-04-20,approx_address_dong
아산시,농업회사법인주식회사 골드마운틴,닭,종계/산란계,18000,충청남도 아산시 영인면 신봉리 527,36.8987077818749,126.981505135334,2025-05-01,2025-04-20,approx_address
아산시,대박농장,닭,육계,27000,충청남도 아산시 신창면 황산리 342-15,36.7585537549956,126.954310184286,2025-05-01,2025-04-20,approx_address
아산시,덕산농장,닭,육계,50000,충청남도 아산시 배방읍 세출리 105-1,36.7466443588285,127.083552937215,2025-05-01,2025-04-20,approx_address
아산시,도고농장,닭,육계,70000,충청남도 아산시 도고면 금산리 69-3,36.7410028176939,126.886720005317,2025-05-01,2025-04-20,approx_address
아산시,명막골농장,닭,종계/산란계,25000,충청남도 아산시 배방읍 수철리 60-2,36.7115607275726,127.069105127851,2025-05-01,2025-04-20,approx_address
