연번,사업장명칭,축종,사업장소재지,사육면적(제곱미터)
346,단원농장,종계/산란계,"충청북도 진천군 이월면 삼용리 1184번지 외 2필지(1185, 917) ",5872
347,에코팜,종계/산란계,충청북도 진천군 초평면 중석리 1390번지  ,616
349,이삭농장,육계,충청북도 진천군 이월면 중산리 631번지 외 1필지 ,3638
351,디딤돌농장,오리,충청북도 진천군 이월면 삼용리 874번지 1호  ,2822
354,예서농장,육계,충청북도 진천군 덕산읍 구산리 137번지  ,3576
359,꿍이네농장,종계/산란계,충청북도 진천군 덕산읍 한천리 495번지 3호  ,3350
360,별이네농장,종계/산란계,충청북도 진천군 덕산읍 한천리 495번지  ,3351
364,하늘샘농장,산란육성계,충청북도 진천군 초평면 오갑리 81번지  ,2082
366,하늘농장,육계,충청북도 진천군 초평면 용산리 1005번지 외 2필지 ,2289
373,농업회사법인(주)재유농원 진천지점,종계/산란계,"충청북도 진천군 초평면 중석리 1828번지 ,1829 ",4436
375,부림2농장,육계,충청북도 진천군 진천읍 상신리 594번지  ,757
389,송원농장,육계,충청북도 진천군 이월면 중산리 631번지 1호  ,4006
403,영민 농장,육계,충청북도 진천군 백곡면 대문리 590번지 591번지 592번지 ,1512
404,햇살 농장,육계,충청북도 진천군 이월면 동성리 840번지  ,4375
410,황금농장,종계/산란계,"충청북도 진천군 문백면 계산리 508번지 506, 507, 509, 555, 601, 504 ",3009
412,서경 농장,육계,충청북도 진천군 이월면 동성리 828번지  ,2291
428,예민꿩농장,꿩,충청북도 진천군 문백면 태락리 529번지 3호  ,420
483,원천농장,종계/산란계,충청북도 진천군 문백면 계산리 169번지  ,3430
485,송림농장,육용오리,충청북도 진천군 이월면 송림리 89번지 3호 주식회사 주원산오리 ,7995
499,영농조합법인 정원농장 진천지점,메추리,충청북도 진천군 초평면 오갑리 322번지 322-1 322-2 322-3 ,3260
511,박** 농장,육계,충청북도 진천군 이월면 사곡리 28번지  ,3057
