사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
홍백농장,육계,충청북도 음성군 금왕읍 사창리 423번지 1호  ,충청북도 음성군 금왕읍 행제길 7-35,53000,3,1990,2023-04-21
영신농원,육계,충청북도 음성군 음성읍 석인리 45번지 4호  ,,24000,5,1502,2023-04-21
황금농장,육계,충청북도 음성군 소이면 중동리 371번지 2호  ,,55000,3,2592,2023-04-21
형제농장,육계,충청북도 음성군 소이면 비산리 963번지 외 4필지(963-2  963-3  960  960-3) ,충청북도 음성군 소이면 충청대로 1780-11,100000,3,4497.3,2023-04-21
원남농장,육계,충청북도 음성군 원남면 상노리 644번지  ,충청북도 음성군 원남면 상노길 281,60000,2,2368,2023-04-21
진세농원,종계/산란계,충청북도 음성군 생극면 임곡리 258번지 1호  ,충청북도 음성군 생극면 임곡길271번길 21,15291,3,1699,2023-04-21
청운농장,종계/산란계,충청북도 음성군 생극면 병암리 234번지  ,충청북도 음성군 생극면 안곤재길 87,125000,2,6449,2023-04-21
소석농장,육계,충청북도 음성군 대소면 소석리 13번지 1호  ,충청북도 음성군 대소면 대금로 614-17,45010,11,2870,2023-04-21
승순농장,종계/산란계,충청북도 음성군 삼성면 대야리 80번지 9호  ,충청북도 음성군 삼성면 덕호로36번길 146,200000,2,5400,2023-04-21
기흥농장,종계/산란계,충청북도 음성군 생극면 송곡리 417번지 6호  ,충청북도 음성군 생극면 송곡길 113-12,21000,2,3004,2023-04-21
한솔제3농장,종계/산란계,충청북도 음성군 원남면 하노리 534번지  ,충청북도 음성군 원남면 상노길 51-60,20000,1,2923.2,2023-04-21
한솔제2농장,종계/산란계,충청북도 음성군 원남면 하노리 533번지 2호  ,충청북도 음성군 원남면 상노길 51-66,250000,3,14095,2023-04-21
삼원농장,종계/산란계,충청북도 음성군 소이면 충도리 502번지  ,충청북도 음성군 소이면 충도로 190,77000,1,4347.6,2023-04-21
열음농장,종계/산란계,충청북도 음성군 소이면 중동리 829번지  ,충청북도 음성군 소이면 중동길168번길 21,2800,6,1482.4,2023-04-21
농업회사법인(주)동일농장 대소2지점,종계/산란계,충청북도 음성군 대소면 삼호리 394번지  ,충청북도 음성군 대소면 삼양로 872-61,40000,2,1865.78,2023-04-21
