farm_id,city,county,farm_name,farm_address,latitude,longitude,livestock_name,livestock_type,head_count,survey_date,reference_date,outbreak_date,label_infected,humidity,min_temp_7d,precipitation_7d,wind_speed_avg_7d
7b05c807ee7679535d7829be8d82b42b,경기도,안성시,영양축산,경기도 안성시 일죽면 신흥리 902번지,37.1229259,127.4645805,닭,육계,35000,2019-12-31,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
c28d346de78ab15217622efa2dae36d6,경기도,안성시,영양축산,경기도 안성시 일죽면 신흥리 902번지 번지 외 2필지,37.1226585066,127.4642700413,닭,육계,22000,2021-09-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
08a2865576e1ed6217cdab378d078809,경기도,안성시,영윤농장,경기도 안성시 양성면 양성로 614,37.1065773568,127.2128703233,닭,육계,1000,2025-08-31,2025-12-10,,0,77.3,-9.9,3.1,1.9857142857142858
3362243d3e87f1fa3c2094f91d932c91,경기도,안성시,영윤농장,경기도 안성시 양성면 장서리 320번지,37.1065773568,127.2128703233,닭,육계,1000,2021-11-30,2025-12-10,,0,77.3,-9.9,3.1,1.9857142857142858
bc838aed22a008eb1c4689e20eca4d1c,경기도,안성시,영화농장,경기도 안성시 일죽면 장암리 162번지 1호 외 1필지(162-3),37.0743234104,127.4625489917,닭,산란계,10760,2021-07-31,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
c55bc045c239347589d39de3841f49ea,경기도,안성시,영화농장,경기도 안성시 일죽면 장암초교길 99,37.0743234104,127.4625489917,닭,종계,10760,2025-04-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
4c572764c2f4be0fd6ba3d130e089696,경기도,안성시,오두리 농장,경기도 안성시 보개면 남사당로 340-50,37.0430489228243,127.315317205929,닭,육계,45000,2025-04-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
07f40e8c732acb93b9b91f7f79185397,경기도,안성시,오두리 농장,경기도 안성시 보개면 오두리 255번지 5호,37.0430500587,127.315318223,닭,육계,45000,2021-06-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
641cb1a9d5a62696ff013693830d8b0e,경기도,안성시,오림농장,경기도 안성시 보개면 보개원삼로 575-12,37.054927098,127.2912432422,닭,산란계,100000,2026-02-26,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
e23672890013021f29e2a4b99570d5ab,경기도,안성시,오림농장,경기도 안성시 보개면 적가리 159번지,37.054927098,127.2912432422,닭,산란계,100000,2021-09-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
606deb83e98c321d3a6b53399d6a6742,경기도,안성시,오성농장,경기도 안성시 원곡면 지문리 24번지 1호,37.0615791298199,127.145496059752,닭,산란계,8000,2025-04-30,2025-12-10,,0,77.3,-9.9,3.1,1.9857142857142858
a0a2fea3f3254ff47cfd1d145fa68a5e,경기도,안성시,완기농장,경기도 안성시 양성면 삼암리 474번지 6호,37.0253850632433,127.204023000081,닭,산란계,46,2025-08-31,2025-12-10,,0,81.0,-10.1,3.2,1.1
aafecfe714d51413b9fdc088cd08c1b7,경기도,안성시,완호농장,경기도 안성시 보개면 기좌리 275번지,37.0388265,127.288626,닭,육계,30000,2018-12-31,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
f3cca222f02cc6e4a1d404bc3d3f4805,경기도,안성시,용단농장,경기도 안성시 보개면 남풍리 1223번지 2호,37.0794675145,127.3038329896,닭,육계,60000,2021-11-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
d75335c08abf09bded253678734ce7e0,경기도,안성시,용단농장,경기도 안성시 보개면 삼은길 316,37.0791937597375,127.30372622636,닭,육계,60000,2025-04-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
d5aacdbbc9bdc57a70dd8455be07f0c1,경기도,안성시,용마농장,경기도 안성시 서운면 바우덕이로 225,36.9567813661,127.2732696975,닭,육계,350,2025-04-30,2025-12-10,,0,81.0,-10.1,3.2,1.1
f58cf787b1439884bb5e385cd14a3b42,경기도,안성시,용마농장,경기도 안성시 서운면 신기리 산 43번지,36.9567813661,127.2732696975,닭,육계,350,2021-07-31,2025-12-10,,0,81.0,-10.1,3.2,1.1
3c29091c083dc7bdaf0a6f63a25fa4e8,경기도,안성시,용성농장,경기도 안성시 일죽면 신흥리 958번지 4호,37.1181542929,127.4757762174,오리,,6000,2025-04-30,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
94c7f104be5aa3ad8b6c832d965c3d4a,경기도,안성시,용성농장,경기도 안성시 일죽면 일죽신흥로 172-35,37.1181594812976,127.475770158556,오리,오리,6000,2025-08-31,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
654c3675eb41178d3349ea656f2c09a7,경기도,안성시,우리농장,경기도 안성시 보개면 내방리 19번지 외6필지,37.0268802,127.3130132,오리,,8000,2021-04-30,2025-12-10,,0,81.0,-10.1,3.2,1.1
1e807757af4ef3249baa755798b8b9c6,경기도,안성시,원범농장,경기도 안성시 양성면 장서리 175번지,37.1043512649,127.2167952354,닭,육계,40000,2021-11-30,2025-12-10,,0,77.3,-9.9,3.1,1.9857142857142858
72a5ab1cb09df32f8b5d0713becb1c5f,경기도,안성시,유신농장,경기도 안성시 일죽면 송천리 473번지 0호,37.0895477,127.4700804,닭,육계,4500,2018-08-31,2025-12-10,,0,83.4,-10.8,4.0,0.9714285714285714
4021d2f059150eedeb5b5439700b03b5,경기도,안성시,유원농장,경기도 안성시 공도읍 승두리 7번지 1호,36.996219,127.1743317,닭,육계,32000,2020-04-30,2025-12-10,,0,81.0,-10.1,3.2,1.1
3ba5651cd08507ffeba64a38d1d3e133,경기도,안성시,유화농장,경기도 안성시 보개면 동문이길 60,36.9995563011,127.2938110734,닭,산란계,37500,2025-05-31,2025-12-10,,0,81.0,-10.1,3.2,1.1
