farm_id,farm_code,name,address,lat,lng,livestock_type,livestock_count,livestock_unit,created_at,updated_at
641cb1a9d5a62696ff013693830d8b0e,ANSEONG-213,오림농장,경기도 안성시 보개면 보개원삼로 575-12,37.054927098,127.2912432422,닭-산란계,100000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
e23672890013021f29e2a4b99570d5ab,ANSEONG-214,오림농장,경기도 안성시 보개면 적가리 159번지,37.054927098,127.2912432422,닭-산란계,100000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
606deb83e98c321d3a6b53399d6a6742,ANSEONG-215,오성농장,경기도 안성시 원곡면 지문리 24번지 1호,37.0615791298199,127.145496059752,닭-산란계,8000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
a0a2fea3f3254ff47cfd1d145fa68a5e,ANSEONG-216,완기농장,경기도 안성시 양성면 삼암리 474번지 6호,37.0253850632433,127.204023000081,닭-산란계,46,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
aafecfe714d51413b9fdc088cd08c1b7,ANSEONG-217,완호농장,경기도 안성시 보개면 기좌리 275번지,37.0388265,127.288626,닭-육계,30000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
f3cca222f02cc6e4a1d404bc3d3f4805,ANSEONG-218,용단농장,경기도 안성시 보개면 남풍리 1223번지 2호,37.0794675145,127.3038329896,닭-육계,60000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
d75335c08abf09bded253678734ce7e0,ANSEONG-219,용단농장,경기도 안성시 보개면 삼은길 316,37.0791937597375,127.30372622636,닭-육계,60000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
d5aacdbbc9bdc57a70dd8455be07f0c1,ANSEONG-220,용마농장,경기도 안성시 서운면 바우덕이로 225,36.9567813661,127.2732696975,닭-육계,350,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
f58cf787b1439884bb5e385cd14a3b42,ANSEONG-221,용마농장,경기도 안성시 서운면 신기리 산 43번지,36.9567813661,127.2732696975,닭-육계,350,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
3c29091c083dc7bdaf0a6f63a25fa4e8,ANSEONG-222,용성농장,경기도 안성시 일죽면 신흥리 958번지 4호,37.1181542929,127.4757762174,오리,6000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
94c7f104be5aa3ad8b6c832d965c3d4a,ANSEONG-223,용성농장,경기도 안성시 일죽면 일죽신흥로 172-35,37.1181594812976,127.475770158556,오리,6000,마리,2026-07-03 22:48:34+09:00,2026-07-03 22:50:53+09:00
